FeatureID,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore
72,192.1382801,7.781480381,12,17,1,1,0,0,0,0,0,0,0,1.416666667,0.083333333,0.083333333,0.380952381,5,0.416666667,C12H17NO,1
74,192.9777899,0.555317652,5,3,3,2,0,1,0,0,0,0,0,0.6,0.6,0.4,6,6,1.2,C5H3N2O3P,0.987487487
75,193.1587617,9.326954462,13,20,1,0,0,0,0,0,0,0,0,1.538461538,0.076923077,0,0.28,4,0.307692308,C13H20O,1
76,194.1176641,0.640203888,11,15,2,1,0,0,0,0,0,0,0,1.363636364,0.181818182,0.090909091,0.388888889,5,0.454545455,C11H15NO2,1
77,194.1176655,14.48734983,11,15,2,1,0,0,0,0,0,0,0,1.363636364,0.181818182,0.090909091,0.388888889,5,0.454545455,C11H15NO2,1
78,194.1751798,3.114888226,7,21,2,4,0,0,0,0,0,0,0,3,0.285714286,0.571428571,0,-0.5,-0.071428571,C7H21N4O2,1
79,194.9708073,13.35632894,2,5,7,0,0,1,0,0,0,0,0,2.5,3.5,0,0,1,0.5,C2H5O7P,1
80,195.1199489,1.690832146,8,18,5,0,0,0,0,0,0,0,0,2.25,0.625,0,0,0,0,C8H18O5,1
81,195.9935297,13.11786373,6,8,2,1,0,1,0,0,0,0,0,1.333333333,0.333333333,0.166666667,0.666666667,4,0.666666667,C6H8NO2P,1
82,196.0168409,13.12925695,4,9,3,2,0,2,0,0,0,0,0,2.25,0.75,0.5,0,2.5,0.625,C4H9N2O3P2,0.923023023
83,196.1544933,1.007201852,9,17,0,5,0,0,0,0,0,0,0,1.888888889,0,0.555555556,0.375,4,0.444444444,C9H17N5,0.984884885
84,196.961751,13.17329135,3,3,2,4,0,1,0,0,0,0,0,1,0.666666667,1.333333333,0,5,1.666666667,C3H3N4O2P,0.292692693
85,197.9983157,13.75736598,5,5,6,1,0,0,0,0,0,0,0,1,1.2,0.2,0.5,4,0.8,C5H5NO6,0.6
86,198.1203214,4.532365517,6,17,5,2,0,0,0,0,0,0,0,2.833333333,0.833333333,0.333333333,0,-0.5,-0.083333333,C6H17N2O5,1
87,198.1489666,4.74046714,11,19,2,1,0,0,0,0,0,0,0,1.727272727,0.181818182,0.090909091,0.166666667,3,0.272727273,C11H19NO2,1
88,198.1489558,5.760504932,11,19,2,1,0,0,0,0,0,0,0,1.727272727,0.181818182,0.090909091,0.166666667,3,0.272727273,C11H19NO2,1
89,198.1852794,7.328487071,12,23,1,1,0,0,0,0,0,0,0,1.916666667,0.083333333,0.083333333,0.095238095,2,0.166666667,C12H23NO,1
90,198.9573283,13.10259013,12,0,1,0,0,0,0,0,0,0,0,0,0.083333333,0,1.086956522,13,1.083333333,C12O,0.771671672
91,199.0294467,13.1791833,8,10,1,1,0,2,0,0,0,0,0,1.25,0.125,0.125,0.777777778,5.5,0.6875,C8H10NOP2,1
92,199.9898971,0.52214716,3,5,7,1,1,0,0,0,0,0,0,1.666666667,2.333333333,0.333333333,0,2,0.666666667,C3H5NO7S,0.546446446
93,199.9889643,13.26886263,2,9,4,2,0,0,0,0,0,1,0,4.5,2,1,0,-0.5,-0.25,C2H9N2O4Se,0.998798799
94,200.1434627,5.271862036,14,17,0,1,0,0,0,0,0,0,0,1.214285714,0,0.071428571,0.5,7,0.5,C14H17N,1
