SampleID,Pn_multiseries_A_DOM_I_t,Pn_multiseries_A_DOM_II_t,Pn_multiseries_B_DOM_I_t,Pn_multiseries_B_DOM_II_t,Pn_delicatissima_A_DOM_I_t,Pn_delicatissima_A_DOM_II_t,Pn_delicatissima_B_DOM_I_t,Pn_delicatissima_B_DOM_II_t,Pn_subpacifica_A_DOM_I_t,Pn_subpacifica_A_DOM_II_t,Pn_subpacifica_B_DOM_I_t,Pn_subpacifica_B_DOM_II_t,Pn_galaxiae_A_DOM_I_t,Pn_galaxiae_A_DOM_II_t,Pn_galaxiae_B_DOM_I_t,Pn_galaxiae_B_DOM_II_t,Pn_hasleana_A_DOM_I_t,Pn_hasleana_A_DOM_II_t,Pn_hasleana_B_DOM_I_t,Pn_hasleana_B_DOM_II_t,Pn_multiseries_A_Unfil_I_t,Pn_multiseries_A_Unfil_II_t,Pn_multiseries_B_Unfil_I_t,Pn_multiseries_B_Unfil_II_t,Pn_delicatissima_A_Unfil_I_t,Pn_delicatissima_A_Unfil_II_t,Pn_delicatissima_B_Unfil_I_t,Pn_delicatissima_B_Unfil_II_t,Pn_subpacifica_A_Unfil_I_t,Pn_subpacifica_A_Unfil_II_t,Pn_subpacifica_B_Unfil_I_t,Pn_subpacifica_B_Unfil_II_t,Pn_galaxiae_A_Unfil_I_t,Pn_galaxiae_A_Unfil_II_t,Pn_galaxiae_B_Unfil_I_t,Pn_galaxiae_B_Unfil_II_t,Pn_hasleana_A_Unfil_I_t,Pn_hasleana_A_Unfil_II_t,Pn_hasleana_B_Unfil_I_t,Pn_hasleana_B_Unfil_II_t
417,0.047844834,0.051951142,0.04039913,0.037774046,0.043854402,0.038857287,0.042825962,0.043350824,0.048960022,0.044375299,0.076300122,0.071140354,0.033454693,0.033544478,0.031861347,0.033621896,0.023602891,0.020463075,0.03350485,0.03179962,0.023678635,0.020762031,0.018716194,0.009828688,0.017041981,0.015148814,0.012873584,0.012917131,0.03215572,0.038209401,0.041141923,0.051369225,0.010810113,0.016201048,0.014173795,0.012500366,0.011813276,0.0108406,0.013717427,0.010761806
442,0.067255505,0.071717153,0.059268332,0.058294112,0.077869674,0.081714575,0.096702071,0.089793377,0.076304359,0.074205171,0.104496905,0.105512504,0.057845081,0.06078298,0.060163079,0.063009415,0.04137321,0.03979184,0.062278068,0.058750194,0.033766496,0.032620889,0.029700275,0.01791048,0.039026082,0.03727301,0.031556212,0.029818325,0.058904364,0.061414327,0.074808051,0.074809205,0.020139311,0.027807126,0.026271425,0.026816793,0.024507616,0.022301692,0.030970625,0.025329967
548,0.006633298,0.009235931,0.006700796,0.006640832,0.008449953,0.005983346,0.005890705,0.004774953,0.0053198,0.008803522,0.006364004,0.003240376,0.016112401,0.011060877,0.011412785,0.01420347,0.006618205,0.007981313,0.012058858,0.011579637,0.00496993,0.002831964,0.00601668,0.00343512,0.002321639,0.002687009,0.002165642,0.002118964,0.005108838,0.005796583,0.005753292,0.004990011,0.006610646,0.007321267,0.008099471,0.005403729,0.007355337,0.007197284,0.006633298,0.004324363
558,0.000320936,0.000441588,0.001220656,0.000737564,0.000255734,0.000424264,0.000419524,0.001496664,0.000723187,0.012921195,0.00025807,0,0.000444972,0.000814862,0.001104536,0.000401248,0.000209523,0.000247588,0.00021587,0.000270924,0.00143875,0.009257562,0.000714143,0.003660609,8.61E-05,0.001749286,0.000138924,0.001421268,0.009099576,0.000491935,0.010000817,0.000157797,0.000834266,0.000951315,0.000316228,0.000144222,0.000631665,9.22E-05,0.000639531,0.000847349
569,0.015337681,0.00967486,0.014217828,0.005513647,0.015994056,0.012048071,0.020333912,0.017702958,0.016470444,0.020765307,0.022517431,0.021214347,0.02506361,0.017323482,0.008491274,0.008927604,0.009159822,0.008631445,0.020076034,0.019568287,0.004012491,0.005049774,0.006204877,0.001865477,0.006324597,0.007496736,0.004604362,0.005059666,0.016666935,0.017884829,0.019090633,0.018945948,0.012698845,0.013272127,0.0105264,0.012157807,0.007190333,0.00592456,0.009262961,0.007099355
573,0.009899657,0.005958223,0.006284944,0.008461779,0.02157047,0.012265258,0.015602139,0.011771423,0.013205989,0.010523929,0.012160768,0.01031522,0.013020084,0.008160973,0.003449645,0.003240376,0.003449645,0.002679555,0.0101567,0.007823123,0.005540786,0.003127304,0.00528207,0.001720466,0.007867736,0.006526914,0.008246305,0.009364965,0.00674542,0.008938799,0.003301521,0.007569749,0.006180654,0.00678975,0.007099355,0.005000021,0.00225832,0.001322876,0.004219017,0.002095234
574,0.001726269,0,0.004289535,0.004816656,0,0,0,0,0,0,0,0,0,0,0.002321639,0.001500001,0,0.000982853,0,0,0.002282544,0.001841196,0.002256105,0.000777818,0.000637966,0,0,0,0,0,0,0,0,0,0.000634035,0,0,0,0,0.00065192
575,0.055997135,0.060546274,0.05226295,0.04887135,0.066178409,0.070919564,0.079845436,0.078621376,0.069995687,0.070110389,0.087760966,0.086937781,0.050000297,0.051699056,0.053211195,0.055029998,0.033875949,0.032783105,0.054930471,0.054951818,0.030015105,0.029558712,0.02512148,0.012632755,0.034566831,0.0330693,0.026793876,0.025817825,0.054133875,0.058572832,0.069633829,0.071666023,0.016745513,0.023016658,0.024106878,0.024208624,0.020396046,0.018796239,0.026718849,0.022504255
584,0.00343512,0.002830198,0.00310484,0.003591665,0.009492245,0.00754328,0.002428994,0.001729163,0.002334526,0.002054265,0.00128841,0.001685231,0.003271091,0.001811078,0.001658313,0.001649243,0.001928731,0.003178055,0.00279643,0.00290345,0.001913114,0.002479922,0.001542725,0.001841196,0.003346646,0.001452584,0.002853072,0.003728279,0.001284524,0.001788855,0.001113553,0,0.001345363,0.001311488,0.00143875,0.00205183,0.001004988,0.001403567,0.00120416,0.001004988
608,0.015878513,0.016724416,0.015577151,0.016740674,0.032108866,0.029723444,0.028838664,0.031491408,0.021090731,0.025837135,0.019298685,0.020066615,0.021812071,0.028024464,0.006678373,0.00588221,0.004516651,0.003146432,0.020052503,0.019049354,0.006364004,0.007516719,0.004195248,0.001479865,0.00831875,0.010265608,0.010850006,0.01195315,0.017782107,0.018161698,0.015459626,0.016275238,0.008282606,0.009586596,0.010696185,0.009348933,0.002720297,0.001486607,0.003405884,0.001603123
617,0.003240376,0.002372764,0.01229966,0.003741666,0.003464109,0.003781543,0.00265895,0.002039609,0.003224909,0.002995,0.001982424,0.001667334,0.029542781,0.018331329,0.01113504,0.015155777,0.010059593,0.010931732,0.022415868,0.022721308,0.00250799,0.001500001,0.002443361,0.000626897,0.001729163,0.001024695,0.001385641,0.001363819,0.002017425,0.001587451,0.001249,0.001392839,0.014303424,0.015122117,0.012663119,0.013278605,0.008848844,0.007778253,0.010718601,0.009005676
627,0.01173624,0.012571329,0.008643024,0.015529662,0.024942193,0.01689894,0.006332498,0.004878544,0.005486374,0.005375898,0.004959859,0.005700908,0.01889075,0.014398275,0.024806233,0.023393606,0.039596923,0.030879152,0.032145013,0.020038706,0.007530011,0.006172559,0.006488497,0.004868284,0.013602368,0.013715604,0.011006902,0.009777681,0.005347922,0.004722305,0.003937014,0.004183312,0.006364004,0.005787951,0.007190333,0.003924293,0.009995165,0.006284944,0.009793011,0.008142571
640,0.022207207,0.021296985,0.016641772,0.012596166,0.020429147,0.021686925,0.038646493,0.021737581,0.022593137,0.021312995,0.021452846,0.020743836,0.019765092,0.011796544,0.015081454,0.015951977,0.010455381,0.007848647,0.020391533,0.019631467,0.011491554,0.010952479,0.007668191,0.003492857,0.007120453,0.00588221,0.008056141,0.004774953,0.018204604,0.021382883,0.021266245,0.021979918,0.004123117,0.005830985,0.006220973,0.006480786,0.004505567,0.004582592,0.008660362,0.00592456
646,0.00688482,0.004472151,0.004098792,0.004171343,0.002946188,0.003286341,0.002204543,0.002543622,0.004722305,0.003361554,0.003478512,0.003924293,0.000950789,0.001989976,0.001264911,0.000797496,0.001191638,0.001705873,0.00214243,0.001555636,0.003033155,0.001857419,0.001746426,0.00178045,0.000987421,0.001774825,0.001392839,0.000768765,0.003834067,0.002882711,0.001878831,0.003152782,0.001445684,0.002233833,0.000882043,0.000873499,0.001009951,0.001624808,0.000874071,0.000878066
662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000665583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,0.045978694,0.055017423,0.031307271,0.044055503,0.034615481,0.035973562,0.032243716,0.03286172,0.061435806,0.049256741,0.024824697,0.031229409,0.030249298,0.034142699,0.021592764,0.020694785,0.01545089,0.018143487,0.020283526,0.01303793,0.031695194,0.033040175,0.020429955,0.013239609,0.015867581,0.02151626,0.016493473,0.015043572,0.045783099,0.055090281,0.026351427,0.02587254,0.017824832,0.021791562,0.011663197,0.016376354,0.019994706,0.009762327,0.014456021,0.016730365
