"","Aminoimidazoles","Benzenoids","Carboximidamides","Dialkylamines","Glycosylamines","Guanidines","Imidazoles","Lactams","Peptidomimetics","Pyrrolidines"
"314",0,0.15,0.02,0.26,0,0.02,0.1,0.08,0,0.12
"315",0,0.14,0,0.09,0,0,0,0,0,0.03
"316",0,0.52,0.01,0.03,0,0.01,0.05,0.15,0.01,0.12
"317",0,0.43,0,0.06,0,0,0.02,0.44,0,0.29
"318",0,0.05,0.07,0.06,0.01,0.19,0.13,0.01,0,0.03
"320",0,0.1,0.01,0.01,0,0,0.02,0.02,0,0.02
"321",0,0.09,0.01,0.01,0,0,0.04,0.01,0.01,0.03
"322",0,0.23,0.02,0.08,0,0,0.16,0.01,0,0.12
"323",0,0.12,0,0.01,0,0,0.02,0.01,0,0.02
"324",0,0.67,0.01,0.01,0,0,0.06,0.03,0,0.02
"325",0,0.28,0.01,0.02,0,0,0.02,0.01,0,0.01
"326",0,0.91,0,0,0,0,0.01,0,0,0
"327",0,0.05,0.16,0.22,0,0.58,0.03,0,0.01,0.02
"328",0,0.15,0.01,0.12,0,0,0.03,0.04,0,0.09
"329",0,0.12,0,0.01,0,0,0.02,0.04,0,0.03
"330",0,0.01,0,0,0,0.01,0,0.02,0,0
"331",0,0.2,0.01,0.05,0,0,0.02,0.1,0.01,0.05
"332",0,0.06,0,0,0,0,0.01,0.01,0,0.01
"333",0,0.1,0,0,0,0,0,0,0,0
"335",0,0.05,0,0,0,0,0,0,0,0
"336",0,0.07,0,0.01,0,0,0.02,0.02,0,0.01
"337",0,0.08,0.01,0.01,0,0,0.03,0.04,0,0.02
"339",0,0.17,0.01,0.06,0,0,0.03,0.02,0,0.05
"340",0,0.09,0,0,0,0,0.01,0.01,0,0.01
"341",0,0.17,0,0.3,0,0,0,0,0,0
"343",0,0.23,0.01,0.02,0,0,0.03,0.03,0,0.04
"344",0,0.08,0,0.64,0,0,0.02,0.05,0.03,0.03
"345",0,0.11,0.01,0.05,0,0.02,0.01,0.06,0.01,0.02
"346",0,0.13,0.03,0.08,0,0.01,0.03,0.03,0.01,0.01
"347",0,0.07,0,0.01,0,0,0,0,0,0
"349",0,0.87,0,0.03,0,0,0.01,0.01,0,0
"351",0,0.13,0,0.01,0,0,0,0,0,0
"352",0,0.17,0,0,0,0,0,0.01,0,0.01
"353",0,0.02,0.01,0.08,0,0,0.01,0.03,0.02,0.05
"354",0,0.01,0,0,0,0,0,0,0,0
"355",0,0.03,0,0,0,0,0,0,0,0
"356",0,0.09,0,0.11,0,0,0,0,0,0.01
"357",0,0.13,0,0.13,0,0,0,0,0,0.01
"358",0,0.18,0.02,0,0,0.02,0.05,0.05,0.01,0.08
"359",0,0.09,0,0.13,0,0,0,0,0,0
"360",0,0.36,0.01,0.03,0,0,0.02,0.03,0,0.02
"361",0,0.12,0.01,0,0,0,0.02,0.02,0.01,0.02
"362",0,0.08,0.01,0.01,0,0,0.05,0.02,0,0.02
"363",0,0.06,0.01,0.02,0,0,0,0,0,0.02
"366",0,0.06,0.01,0,0,0,0,0.01,0,0
"368",0,0.16,0.01,0.58,0,0,0.02,0.05,0,0.08
"369",0,0.05,0.01,0.03,0,0.01,0.1,0.02,0.01,0.03
"370",0,0.2,0,0.02,0,0,0.03,0,0,0.02
"371",0,0.1,0.01,0.03,0,0,0.06,0.01,0,0.02
"372",0,0.09,0,0.13,0,0,0,0,0,0.01
"373",0,0.19,0,0.02,0,0,0.02,0.02,0,0.02
"375",0,0.12,0.01,0,0,0,0.04,0.02,0.01,0.03
"376",0,0.1,0,0.02,0,0,0.02,0.02,0,0.03
"378",0,0.29,0,0,0,0,0.01,0.11,0,0.05
"379",0,0.12,0,0.02,0,0,0.01,0.01,0,0
"381",0,0.2,0,0.04,0,0,0.02,0.11,0,0.06
"382",0,0.95,0,0,0,0,0.01,0.01,0,0.02
"383",0,0.03,0,0.06,0,0,0,0.01,0.02,0.04
"384",0,0.05,0,0.03,0,0,0,0,0,0.01
"385",0,0.02,0,0.01,0,0,0,0,0,0
"387",0,0.05,0,0.05,0,0,0,0,0,0
"388",0,0.47,0.06,0.01,0,0,0.12,0.01,0,0.07
"391",0,1,0,0.01,0,0,0,0,0,0
"392",0,0.18,0.02,0.04,0,0,0.05,0.16,0.01,0.16
"393",0,0.01,0,0,0,0,0,0,0,0
"396",0,0.09,0.04,0.04,0,0.16,0.01,0.04,0.02,0.01
"398",0,0.06,0,0.03,0,0,0,0,0,0.01
"399",0,0.9,0,0,0,0,0.01,0.01,0,0
"400",0,0.06,0,0,0,0,0.01,0.01,0,0.01
"401",0,0.1,0.01,0.1,0.02,0.02,0.17,0.09,0.01,0.04
"402",0,0.03,0.12,0,0,0.06,0.04,0.13,0.01,0.03
"404",0,0.14,0.04,0.01,0,0.01,0.05,0.07,0.01,0.04
"405",0,0.15,0,0.03,0,0,0.03,0.03,0,0.02
"406",0,0.16,0.02,0.3,0,0.01,0.05,0.09,0.01,0.12
"407",0,0.22,0.01,0.03,0,0,0.03,0,0,0.02
"408",0,0.08,0,0,0,0,0.01,0.01,0,0.01
"409",0,0.08,0.01,0,0,0,0.01,0.01,0,0.01
"410",0,0.02,0.01,0.08,0,0,0,0,0,0
"412",0,0.73,0,0,0.05,0.01,0.03,0.07,0,0
"413",0,0.97,0.01,0.01,0.09,0.02,0.05,0.02,0,0.01
"414",0,0.38,0,0,0,0,0,0.01,0,0.01
"415",0,0.14,0.02,0.03,0.01,0.02,0.04,0.02,0,0.01
"416",0,0.08,0.01,0.24,0,0,0.01,0.05,0.01,0.04
"418",0,0.27,0.02,0.01,0,0,0.08,0.02,0.01,0.03
"419",0,0.1,0,0.09,0,0,0.01,0.02,0,0
"420",0,0.09,0.02,0.02,0,0,0.01,0.01,0,0.02
"421",0,0.03,0,0.04,0,0,0.03,0.02,0,0.08
"422",0,0.11,0,0.11,0,0,0,0,0,0.01
"423",0,0.03,0,0.04,0,0,0,0,0,0
"424",0,0.2,0.02,0.01,0,0,0.04,0.02,0,0.01
"425",0,0.05,0,0.01,0,0,0,0,0,0
"426",0,0.05,0,0.01,0,0,0,0,0,0
"427",0,0.92,0,0.01,0,0,0.01,0.03,0,0.01
"428",0,0.78,0.01,0.03,0,0,0.02,0.02,0,0.02
"429",0,0.2,0.01,0.01,0,0,0.03,0.06,0,0.03
"430",0,0.09,0.1,0.03,0,0.54,0.01,0.01,0.01,0.01
"431",0,0.13,0.02,0.07,0,0,0.02,0.05,0,0.08
"432",0,0.04,0.02,0.01,0,0,0.01,0,0,0.01
"434",0,0.07,0,0.01,0,0,0,0,0,0
"437",0,0.02,0,0.07,0,0,0.01,0.09,0.01,0.01
"438",0,0.17,0.02,0.02,0,0.01,0.02,0.05,0.01,0.03
"439",0,0.26,0.03,0.28,0.01,0.04,0.05,0.12,0.04,0.07
"441",0,0.05,0,0.01,0,0,0,0,0,0
"443",0,0.08,0.01,0.12,0,0.01,0.03,0.23,0.03,0.09
"444",0,0.11,0,0.04,0,0,0,0,0,0
"445",0,0.25,0,0.03,0,0,0.02,0.01,0,0
"446",0,0.03,0,0,0,0,0,0,0,0
"448",0,0.05,0,0.69,0,0,0,0,0,0
"449",0,0.18,0.02,0.02,0,0,0.07,0.01,0.01,0.02
"450",0,0.12,0.04,0.08,0,0.2,0.04,0.02,0.01,0.02
"451",0,0.16,0,0,0,0,0.02,0.04,0,0.02
"452",0,0.41,0,0,0,0,0.02,0,0,0.02
"453",0,0.27,0.01,0.02,0.01,0,0.09,0.06,0,0.1
"455",0,0.08,0,0,0,0,0,0.01,0,0
"456",0,0.08,0,0,0,0,0,0.01,0,0.01
"457",0,0.07,0,0,0,0,0.01,0.01,0,0.01
"458",0,0.97,0,0,0,0,0.08,0.01,0,0
"459",0,1,0,0.01,0,0,0,0,0,0
"460",0,0.08,0.02,0.03,0,0,0.02,0.01,0,0.04
"461",0,0.05,0.02,0.33,0,0,0.02,0.07,0,0.13
"463",0,0.08,0,0.14,0.01,0,0.04,0.16,0.02,0.82
"464",0,0.09,0,0.31,0,0,0.01,0.01,0.04,0.02
"466",0,0.16,0.01,0.01,0,0,0.04,0.05,0.01,0.04
"469",0,0.04,0,0,0,0,0,0,0,0
"471",0,0.24,0,0,0,0,0.01,0,0,0
"472",0,0.09,0.02,0.01,0,0,0.03,0,0,0.03
"473",0,0.08,0.03,0.02,0,0,0.04,0.01,0,0.02
"474",0,0.09,0.01,0.06,0,0.01,0.03,0.04,0.17,0.01
"475",0,0.14,0.01,0.15,0.01,0.01,0.04,0.18,0.02,0.33
"476",0,0.02,0,0.08,0,0,0,0.01,0,0.01
"479",0,0.07,0.02,0.04,0,0.01,0.03,0.05,0.01,0.08
"480",0,0.07,0,0.11,0,0,0,0,0,0
"481",0,0.96,0,0.02,0,0,0.01,0.05,0,0.02
"482",0,1,0,0,0,0,0,0.01,0,0
"483",0,0.25,0,0.01,0.01,0,0.01,0,0,0.01
"484",0,0.02,0,0.01,0,0,0,0,0,0
"485",0,0.26,0.04,0.04,0,0.01,0.41,0.21,0.03,0.03
"488",0,0.13,0,0.01,0,0,0.03,0.14,0,0.14
"489",0,0.03,0,0,0,0,0,0,0,0
"490",0.01,0.02,0.14,0.25,0,0.2,0.01,0.01,0,0
"491",0,0.17,0.22,0.15,0.01,0.37,0.04,0.02,0.03,0.02
"494",0,0.07,0.05,0.1,0.01,0.28,0.09,0.02,0.05,0
"495",0,0.09,0.01,0.02,0,0,0.06,0.02,0.01,0.06
"496",0,0.17,0,0.03,0,0,0.02,0.02,0.02,0.01
"497",0,0.07,0.01,0.03,0,0.09,0.06,0.04,0.04,0.02
"498",0,0.17,0.01,0.01,0,0.02,0.04,0.04,0.01,0.03
"499",0,0.19,0,0.02,0,0,0.02,0.01,0,0.01
"500",0,0.09,0.01,0.03,0,0,0.05,0.03,0.01,0.02
"501",0,0.15,0.02,0.01,0,0,0.06,0.04,0,0.03
"502",0,0.23,0.02,0.25,0,0.01,0.02,0.01,0.03,0.08
"503",0,0.14,0.03,0.04,0.01,0.02,0.08,0.1,0.03,0.16
"504",0,0.05,0,0.13,0,0,0.01,0.01,0,0.02
"505",0,0.04,0.02,0.02,0.01,0.15,0.01,0.07,0.02,0.01
"507",0,0.1,0.01,0.16,0,0,0.03,0.04,0.03,0.1
"509",0,0.29,0,0,0,0,0.01,0.02,0,0.03
"512",0,0.03,0,0.09,0,0,0.02,0.01,0,0.5
"513",0.04,0.15,0.03,0.07,0,0.07,0.19,0.24,0.04,0.13
"515",0,0.03,0,0,0,0,0,0,0,0
"516",0,0.06,0.02,0.02,0,0.14,0.01,0.02,0.01,0.02
"518",0,0.12,0.31,0.06,0,0.1,0.13,0.06,0.03,0.12
"519",0,0.03,0,0.01,0,0.09,0.01,0.02,0,0.01
"521",0,0.2,0.01,0.04,0,0.01,0.02,0.01,0.01,0.02
"522",0,0.06,0,0.01,0,0,0.02,0.02,0,0.01
"523",0,0.17,0,0.02,0,0,0,0.01,0,0.02
"524",0,0.26,0.05,0.06,0.01,0.03,0.05,0.02,0,0.04
"525",0,0.19,0,0.13,0,0,0.02,0.03,0.01,0.06
"527",0,0.04,0,0,0,0,0,0,0,0
"529",0,0.52,0,0,0,0,0,0,0,0
