"","Alcohols and polyols","Alkyl phosphates","Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones","Aminosaccharides","Androstane steroids","Carbonyl compounds","Carboxylic acid derivatives","Carboxylic acid esters","Carboxylic acids and derivatives","Cholines","Dialkyl phosphates","Dicarboxylic acids and derivatives","Disaccharides","Fatty acid esters","Fatty Acyls","Glycerophosphocholines","Glycerophospholipids","Lipids and lipid-like molecules","O-glycosyl compounds","Organic acids and derivatives","Organic cations","Organic oxides","Organic phosphoric acids and derivatives","Organic salts","Phosphate esters","Phosphatidylcholines","Phosphocholines","Quaternary ammonium salts","Secondary alcohols","Steroid esters","Tetraalkylammonium salts"
"6867",0.32,0.01,0.17,0.17,0,0.46,0.96,0.1,0.09,0.36,0,0,0.02,0,0.01,0.16,0,0,0.99,0,0.31,0,0.86,0,0,0.01,0,0,0,0.07,0.03,0
"7019",0.41,0,0.03,0.04,0,0.43,0.85,0.69,0.66,0.71,0,0,0.05,0,0.05,0.11,0,0,0.95,0,0.74,0.02,0.88,0,0.01,0,0,0,0,0.11,0.3,0
"7020",0.2,0,0.02,0.02,0,0.49,0.89,0.88,0.82,0.83,0,0,0.06,0,0.09,0.16,0,0,0.98,0,0.86,0.01,0.9,0,0,0,0,0,0,0.13,0.22,0
"7046",1,1,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.99,0,1,1,0,1,0,0,0,1,0,0
"7051",0.95,1,0,0,0,0,0.98,0.96,0.94,1,0,1,0.08,0,0.97,0.97,0.04,1,1,0,1,0,1,1,0.01,1,0,0.02,0,0.96,0,0
"7055",0.97,1,0,0,0,0,0.96,0.94,0.92,1,0,1,0.04,0,0.94,0.92,0.05,1,1,0,1,0,1,1,0.01,1,0,0.04,0,0.98,0,0
"7088",0.26,1,0.44,0.57,0,0.04,0.99,0.96,0.92,0.98,0.99,1,0.28,0,0.95,0.9,0.89,0.99,0.99,0,1,0.24,1,1,0.52,1,0.35,0.99,0.97,0.13,0,0.96
"7163",0.37,0,0.04,0.06,0,0.09,0.89,0.85,0.77,0.92,0,0,0.84,0,0.19,0.25,0,0,0.95,0.03,0.98,0,0.94,0,0,0,0,0,0,0.27,0.46,0
"7200",0.19,0,0.06,0.22,0.01,0,0.92,0.64,0.42,0.97,0,0,0.14,0.01,0.15,0.62,0.01,0,0.81,0.02,0.99,0,0.96,0.01,0,0,0.04,0,0,0.29,0,0
"7206",0.63,0.01,0.02,0.04,0.9,0.01,0.97,0.88,0.8,0.96,0,0,0.62,0.27,0.23,0.48,0,0,0.64,0.4,0.95,0,0.91,0.02,0.01,0.01,0,0.01,0,0.78,0.12,0
"7207",0.68,0,0.02,0.03,0.77,0,0.88,0.93,0.79,0.96,0,0,0.3,0.2,0.14,0.44,0,0,0.7,0.57,0.99,0.01,0.83,0.01,0.01,0.01,0,0.02,0,0.79,0.03,0
"7209",0.59,0,0.04,0.05,0.72,0.01,0.96,0.9,0.76,0.95,0,0,0.61,0.24,0.39,0.65,0,0,0.74,0.3,0.95,0,0.9,0.02,0.01,0.01,0.01,0.03,0,0.74,0.2,0
"7214",0.62,0.01,0.11,0.13,0.34,0,0.99,0.88,0.64,0.98,0,0,0.65,0.1,0.09,0.2,0,0,0.27,0.09,0.98,0.01,0.98,0.01,0.01,0,0.01,0.04,0,0.81,0,0
