variable,p_value,FDR
Tetrahydrofurans,0.1266148233028884,0.6225228812392013
Tetralins,0.8328865310177526,1
Tetrapyrroles and derivatives,0.8563867326167675,1
Tetrazoles,0.9966004082923363,1
Thia fatty acids,0.6713679639373182,1
Thiadiazoles,1,1
Thiazoles,0.9999999999999951,1
Thiocarboxylic acids and derivatives,1,1
Thioethers,0.9999999995366903,1
Thiols,0.9514500188079251,1
Thiophenes,1,1
Thiophosphate triesters,0.8853279451527615,1
Thiophosphoric acid esters,0.24732070901696002,1
Triacylglycerols,0.0015399567991058862,0.013628617672087092
Trialkylamines,1,1
Triazines,0.9870574851291232,1
Triazoles,0.977241126403467,1
Tricarboxylic acids and derivatives,9.449046803386487e-4,0.008959721165353972
Triradylcglycerols,0.7984197841473986,1
Triterpenoids,1.4212972782419598e-6,1.8867721368662017e-5
Tryptamines and derivatives,0.2301862406904739,1
Tyrosine and derivatives,0.9999468136388809,1
Unsaturated aliphatic hydrocarbons,0.32617653611688807,1
Unsaturated fatty acids,0.12515670983215121,0.6225228812392013
Unsaturated hydrocarbons,0.125715918520872,0.6225228812392013
Ureas,0.999999999999992,1
Valine and derivatives,1,1
Vinyl chlorides,0.9287999930061732,1
Vinyl halides,0.9676064316477615,1
Vinylogous acids,0.38464014476331704,1
Vinylogous amides,0.8328319515477544,1
Vinylogous esters,0.6457642887815951,1
Vinylogous thioesters,0.9999979467697631,1
Xylenes,0.4151655182010217,1
