sample_code,Alcohols and polyols,Aldehydes,Alkyl phosphates,"Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones",Aminosaccharides,Androstane steroids,"Bile acids, alcohols and derivatives",Carbonyl compounds,Carboxylic acid derivatives,Carboxylic acid esters,Carboxylic acids and derivatives,Cholestane steroids,Cholesterols and derivatives,Cholines,Delta-5-steroids,Dialkyl phosphates,Dicarboxylic acids and derivatives,Disaccharides,Diterpene glycosides,Diterpenoids,Fatty acid esters,Fatty Acyls,Glycerophosphocholines,Glycerophospholipids,Lipids and lipid-like molecules,Long-chain fatty acids,Naphthalenes,O-glycosyl compounds,Organic cations,Organic oxides,Organic phosphoric acids and derivatives,Organic salts,Phosphate esters,Phosphatidylcholines,Phosphocholines,Quaternary ammonium salts,Secondary alcohols,Steroid esters,Tetraalkylammonium salts,Triterpenoids
Exp2_Pn-hasleana_B_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-hasleana_B_DOM_II,0.23500000000000001,0.057499999999999996,0,0.09,0.027500000000000004,0,0.01,0,0.9275,0.22749999999999998,0.037500000000000006,0.505,0,0,0,0,0,0.0375,0,0,0.0225,0.005,0.265,0,0,0.53,0.0125,0.0075,0,0.027499999999999997,0.9624999999999999,0.005,0.025,0.0025,0.0075,0.0025,0.0025,0.07,0,0.0025,0
Exp2_Pn-hasleana_B_Unfil_I,0.5475384615384618,0.03538461538461539,0.4296923076923079,0.0732307692307692,0.056153846153846144,0.030923076923076928,0.05338461538461538,0.010000000000000002,0.8507692307692308,0.6890769230769229,0.5987692307692309,0.7726153846153843,0.00923076923076923,0.005846153846153846,0.19630769230769232,0.01276923076923077,0.3504615384615386,0.2592307692307692,0.03,0.013230769230769232,0.08169230769230769,0.4570769230769231,0.5586153846153846,0.20123076923076919,0.3944615384615385,0.8270769230769233,0.03861538461538458,0.011384615384615387,0.05769230769230769,0.07784615384615383,0.9092307692307691,0.43246153846153856,0.12892307692307686,0.4310769230769232,0.08338461538461538,0.20461538461538462,0.2,0.46784615384615386,0.037384615384615384,0.19799999999999998,0.04646153846153846
Exp2_Pn-hasleana_B_Unfil_II,0.5901538461538463,0.030307692307692327,0.4915384615384616,0.06523076923076919,0.05015384615384615,0.031538461538461536,0.05015384615384615,0.009384615384615385,0.8561538461538462,0.7187692307692307,0.6298461538461538,0.8006153846153843,0.008923076923076922,0.005538461538461538,0.22030769230769234,0.010307692307692308,0.4116923076923077,0.2766153846153845,0.01723076923076923,0.008461538461538463,0.06338461538461536,0.4953846153846153,0.5987692307692307,0.23169230769230767,0.4561538461538462,0.8306153846153846,0.03830769230769227,0.013076923076923083,0.04584615384615384,0.09261538461538459,0.9213846153846151,0.49476923076923085,0.1441538461538461,0.4941538461538462,0.1035384615384615,0.23338461538461538,0.2286153846153846,0.5152307692307693,0.02707692307692308,0.2224615384615385,0.032923076923076916
Exp2_Pn-multiseries_A_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-multiseries_A_DOM_II,0.23500000000000001,0.057499999999999996,0,0.09,0.027500000000000004,0,0.01,0,0.9275,0.22749999999999998,0.037500000000000006,0.505,0,0,0,0,0,0.0375,0,0,0.0225,0.005,0.265,0,0,0.53,0.0125,0.0075,0,0.027499999999999997,0.9624999999999999,0.005,0.025,0.0025,0.0075,0.0025,0.0025,0.07,0,0.0025,0
Exp2_Pn-multiseries_A_Unfil_I,0.5446296296296295,0.03499999999999999,0.35666666666666663,0.07675925925925921,0.07166666666666663,0.05129629629629629,0.04425925925925923,0.012407407407407409,0.8739814814814812,0.7404629629629628,0.6452777777777777,0.8267592592592591,0.008240740740740741,0.0044444444444444444,0.17787037037037035,0.017314814814814825,0.312222222222222,0.29157407407407404,0.05935185185185183,0.014907407407407414,0.0694444444444444,0.47037037037037016,0.592685185185185,0.19046296296296303,0.34361111111111103,0.844722222222222,0.035925925925925896,0.015092592592592602,0.10546296296296295,0.07388888888888884,0.9207407407407409,0.37203703703703694,0.1158333333333333,0.3694444444444443,0.08499999999999995,0.19055555555555567,0.1834259259259259,0.48518518518518516,0.0637037037037037,0.1793518518518519,0.06944444444444443
Exp2_Pn-multiseries_A_Unfil_II,0.5671698113207546,0.03462264150943395,0.36330188679245295,0.06933962264150938,0.06499999999999996,0.05226415094339622,0.045188679245282984,0.012075471698113207,0.8728301886792451,0.7439622641509432,0.6476415094339621,0.8313207547169811,0.00839622641509434,0.004622641509433962,0.18141509433962263,0.015471698113207552,0.3200943396226414,0.2896226415094339,0.061698113207547145,0.014716981132075476,0.06613207547169808,0.47301886792452813,0.6041509433962262,0.19405660377358494,0.350188679245283,0.8428301886792452,0.03679245283018865,0.015188679245283028,0.11254716981132075,0.0754716981132075,0.9199999999999999,0.37896226415094336,0.11811320754716975,0.3761320754716981,0.08669811320754711,0.19424528301886806,0.18688679245283019,0.500754716981132,0.04971698113207547,0.1828301886792453,0.05509433962264149
Exp2_Pn-multiseries_B_DOM_I,0.18333333333333335,0.04666666666666667,0.0033333333333333335,0.08,0.03333333333333333,0,0.01,0,0.89,0.31833333333333336,0.18000000000000002,0.5083333333333333,0,0,0,0.0033333333333333335,0.0016666666666666668,0.14333333333333334,0,0.0016666666666666668,0.05333333333333334,0.005,0.18666666666666668,0,0,0.4733333333333332,0.01,0.006666666666666667,0,0.024999999999999998,0.9216666666666667,0.0033333333333333335,0.03666666666666667,0.0016666666666666668,0.006666666666666667,0.0016666666666666668,0.0016666666666666668,0.06666666666666667,0,0.0016666666666666668,0
Exp2_Pn-multiseries_B_DOM_II,0.18142857142857144,0.07571428571428572,0.002857142857142857,0.12142857142857144,0.04142857142857143,0,0.1042857142857143,0,0.9142857142857144,0.2914285714285714,0.16714285714285712,0.4657142857142857,0,0,0,0.011428571428571429,0.0014285714285714286,0.12428571428571429,0,0.0014285714285714286,0.024285714285714282,0.004285714285714286,0.1642857142857143,0,0,0.48285714285714276,0.012857142857142857,0.015714285714285715,0,0.02142857142857143,0.9500000000000001,0.002857142857142857,0.032857142857142856,0.0014285714285714286,0.005714285714285714,0.0014285714285714286,0.0014285714285714286,0.07571428571428572,0.0014285714285714286,0.0014285714285714286,0.002857142857142857
Exp2_Pn-multiseries_B_Unfil_I,0.5601886792452828,0.034905660377358476,0.36330188679245295,0.07424528301886786,0.06981132075471694,0.05226415094339622,0.045188679245282984,0.012169811320754717,0.8749999999999998,0.745943396226415,0.6477358490566038,0.8322641509433961,0.00839622641509434,0.004622641509433962,0.1812264150943396,0.0159433962264151,0.3200943396226414,0.2950943396226414,0.061698113207547145,0.015000000000000006,0.06896226415094336,0.47566037735849037,0.6037735849056602,0.19415094339622646,0.3500943396226414,0.8429245283018866,0.03622641509433959,0.015283018867924538,0.11254716981132075,0.0754716981132075,0.9215094339622644,0.37896226415094336,0.11811320754716975,0.3761320754716981,0.08679245283018862,0.19424528301886806,0.18688679245283019,0.4974528301886792,0.05339622641509434,0.1827358490566038,0.05943396226415093
Exp2_Pn-multiseries_B_Unfil_II,0.5781372549019607,0.03431372549019607,0.36794117647058827,0.07245098039215682,0.07186274509803918,0.05431372549019607,0.0433333333333333,0.012647058823529412,0.8823529411764705,0.7699019607843137,0.6687254901960784,0.851862745098039,0.008725490196078432,0.004803921568627451,0.1885294117647059,0.015588235294117654,0.3238235294117646,0.3000980392156862,0.0641176470588235,0.015490196078431377,0.06049019607843136,0.48715686274509773,0.6235294117647057,0.20186274509803928,0.3541176470588235,0.8541176470588233,0.03813725490196075,0.015098039215686284,0.11696078431372549,0.07813725490196072,0.9320588235294118,0.3840196078431372,0.12264705882352935,0.3810784313725489,0.09019607843137249,0.20186274509803936,0.1942156862745098,0.5113725490196078,0.05549019607843137,0.19000000000000003,0.06166666666666666
Exp2_Pn-subpacifica_A_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-subpacifica_A_DOM_II,0.215,0.06,0,0.08,0.027500000000000004,0,0.01,0.0125,0.91,0.4075,0.2275,0.5275,0.005,0.0025,0,0.0025,0,0.12,0,0.01,0.03,0.0925,0.3025,0.005,0.0025,0.7024999999999999,0.005,0.015000000000000001,0.0025,0.005,0.9475,0.0025,0.0125,0,0.02,0,0.0025,0.0725,0.015,0.0025,0.0625
Exp2_Pn-subpacifica_A_Unfil_I,0.5466346153846152,0.03288461538461537,0.3508653846153847,0.0749038461538461,0.07038461538461535,0.04942307692307692,0.046346153846153815,0.012884615384615385,0.8783653846153843,0.743557692307692,0.6510576923076924,0.8308653846153843,0.00855769230769231,0.004615384615384615,0.16663461538461544,0.017980769230769238,0.31317307692307694,0.2983653846153846,0.06144230769230767,0.015192307692307698,0.06471153846153843,0.4699038461538458,0.5961538461538459,0.1790384615384616,0.3467307692307692,0.8588461538461535,0.03634615384615382,0.01548076923076924,0.11259615384615382,0.06971153846153841,0.9174038461538461,0.3667307692307693,0.10961538461538455,0.3644230769230769,0.07951923076923072,0.17846153846153856,0.17134615384615384,0.47903846153846147,0.06586538461538462,0.16730769230769232,0.07624999999999998
Exp2_Pn-subpacifica_A_Unfil_II,0.556090909090909,0.03518181818181817,0.35918181818181816,0.07709090909090903,0.06999999999999995,0.050363636363636353,0.0437272727272727,0.011727272727272727,0.873363636363636,0.7337272727272726,0.6393636363636364,0.8209090909090907,0.008090909090909091,0.004363636363636365,0.17481818181818182,0.01690909090909092,0.3142727272727271,0.294,0.059454545454545434,0.014090909090909095,0.06309090909090906,0.4659999999999998,0.5931818181818179,0.18700000000000006,0.3464545454545454,0.8450909090909088,0.03599999999999997,0.014545454545454554,0.10836363636363638,0.07281818181818177,0.9207272727272727,0.3742727272727272,0.11381818181818176,0.3716363636363635,0.08272727272727268,0.1871818181818183,0.18009090909090908,0.4908181818181818,0.061727272727272735,0.17618181818181822,0.07036363636363634
Exp2_Pn-subpacifica_B_DOM_I,0.35500000000000004,0.095,0,0.135,0.015,0,0.01,0,0.92,0.055,0.01,0.095,0,0,0,0,0,0,0,0,0.04,0,0.015,0,0,0.46499999999999997,0,0.005,0,0.005,0.94,0.005,0.02,0,0,0,0,0.115,0,0,0
Exp2_Pn-subpacifica_B_DOM_II,0.23750000000000002,0.06,0.005,0.0925,0.030000000000000002,0,0.01,0,0.925,0.315,0.255,0.475,0,0,0,0,0.0025,0.2075,0,0,0.0225,0.005,0.0325,0,0,0.3025,0.01,0.0075,0,0.034999999999999996,0.9625,0.005,0.0525,0.0025,0.01,0.0025,0,0.0925,0,0,0
Exp2_Pn-subpacifica_B_Unfil_I,0.5412121212121211,0.03383838383838383,0.3385858585858587,0.07484848484848479,0.07121212121212117,0.051919191919191914,0.04494949494949493,0.013535353535353536,0.8787878787878785,0.7479797979797979,0.6545454545454547,0.8383838383838381,0.00888888888888889,0.004848484848484849,0.1650505050505051,0.01828282828282829,0.29969696969696974,0.30616161616161613,0.06454545454545453,0.015555555555555562,0.059494949494949455,0.46797979797979766,0.5963636363636361,0.17757575757575758,0.3345454545454546,0.8582828282828281,0.03656565656565653,0.015454545454545464,0.11828282828282825,0.07040404040404036,0.921010101010101,0.3550505050505051,0.10858585858585854,0.35262626262626257,0.08353535353535349,0.1769696969696971,0.1703030303030303,0.47888888888888886,0.0691919191919192,0.16616161616161612,0.08050505050505048
Exp2_Pn-subpacifica_B_Unfil_II,0.5355445544554455,0.03633663366336633,0.31217821782178223,0.07851485148514847,0.07346534653465342,0.054851485148514845,0.04287128712871285,0.012376237623762379,0.8759405940594056,0.7365346534653464,0.6423762376237623,0.826237623762376,0.00811881188118812,0.004356435643564357,0.1618811881188119,0.018019801980198025,0.2866336633663367,0.30346534653465335,0.06475247524752473,0.01584158415841585,0.07425742574257423,0.45495049504950474,0.5808910891089107,0.17386138613861393,0.30821782178217827,0.8466336633663365,0.035346534653465315,0.01603960396039605,0.11811881188118811,0.07118811881188115,0.9156435643564356,0.3282178217821783,0.10881188118811874,0.32574257425742587,0.07821782178217816,0.1740594059405942,0.16673267326732674,0.47089108910891087,0.06712871287128715,0.16306930693069305,0.08039603960396038
