"","1-hydroxy-2-unsubstituted benzenoids","Alkyl aryl ethers","Alpha amino acid amides","Alpha amino acids and derivatives","Amidines","Amines","Amino acids","Amino acids and derivatives","Amino acids, peptides, and analogues","Aminoimidazoles","Aminopyrimidines and derivatives","Aralkylamines","Azacyclic compounds","Azoles","Carboximidamides","Carboximidic acids","Carboximidic acids and derivatives","Carboxylic acid amides","Dialkylamines","Diazinanes","Dihydropyridinecarboxylic acids and derivatives","Dipeptides","Fatty amides","Guanidines","Heteroaromatic compounds","Hydroxamic acids","Imidazoles","Imidazolyl carboxylic acids and derivatives","Imidolactams","Imines","Isoleucine and derivatives","Lactams","Methyl esters","N-acyl-alpha amino acids and derivatives","N-acyl amines","N-substituted imidazoles","Organic 1,3-dipolar compounds","Organic acids and derivatives","Organic nitrogen compounds","Organoheterocyclic compounds","Organonitrogen compounds","Organopnictogen compounds","Peptides","Peptidomimetics","Phenol ethers","Piperidines","Primary carboxylic acid amides","Propargyl-type 1,3-dipolar organic compounds","Pyrans","Pyridines and derivatives","Pyrrole carboxylic acids and derivatives","Pyrrolidine carboxylic acids and derivatives","Pyrrolidines","Secondary amines","Secondary carboxylic acid amides","Substituted imidazoles","Tertiary alkylarylamines","Tertiary carboxylic acid amides","Valine and derivatives","Vinylogous amides","Vinylogous esters"
"2857",0.01,0.05,0,0.02,0.01,0.48,0.01,0.2,0.18,0,0.28,0.05,0.9,0.43,0.05,0.03,0.04,0.11,0.09,0.01,0.02,0.05,0.03,0.05,0.95,0,0.06,0.01,0.47,0.14,0.01,0.02,0.13,0,0.03,0.05,0.11,0.3,1,0.91,1,0.94,0,0,0.01,0.04,0.03,0.11,0,0.12,0.03,0,0.04,0.24,0.08,0.03,0.01,0.04,0,0.15,0.06
"2873",0.01,0.02,0,0,0,0.03,0.03,0.04,0.04,0,0,0,0.01,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0,0,0.01,0,0.06,0,0.01,0.01,0,0.07,0,0,0.01,0.01,0,0.01,0.1,0.98,0.01,0.11,0.01,0.4,0,0,0.01,0,0.01,0.05,0.01,0.01,0,0,0.01,0.02,0.02,0.01,0,0,0,0.01,0.01
"3156",0,0,0,0.01,0.01,0.14,0,0.08,0.1,0,0,0,0.07,0,0.01,0.03,0.04,0.05,0.02,0,0,0,0.03,0.06,0.02,0,0,0,0,0.04,0,0.01,0,0,0.01,0,0.1,0.18,1,0.15,0.98,0.89,0,0,0,0,0.04,0.08,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0
"3275",0.01,0.29,0.06,0.02,0,0.8,0.22,0.47,0.45,0,0,0.08,0.1,0.03,0.01,0.1,0.11,0.25,0.06,0.02,0,0.02,0.31,0,0.09,0,0.01,0.01,0,0.11,0.01,0.05,0.05,0.02,0.65,0,0.07,0.96,1,0.3,1,0.96,0,0.01,0.25,0.04,0.01,0.08,0.04,0.05,0.02,0.01,0.05,0.1,0.48,0.01,0,0.02,0.01,0.01,0.06
"3287",0,0.02,0.07,0.11,0.08,0.37,0.05,0.37,0.44,0,0.07,0.1,0.37,0.07,0.23,0.09,0.08,0.44,0.31,0.05,0,0.2,0.28,0.46,0.12,0,0.08,0.01,0.04,0.08,0.01,0.05,0,0.15,0.21,0.01,0.19,0.88,1,0.31,0.99,0.84,0.19,0.01,0.01,0.01,0.24,0.19,0.01,0.04,0,0.02,0.06,0.39,0.37,0.03,0.01,0.01,0,0.01,0
"3461",0.02,0.01,0.29,0.71,0.01,0.14,0.02,0.88,0.97,0,0,0,0.32,0.02,0.02,0.41,0.39,0.53,0.08,0,0,0.37,0.22,0.03,0.05,0.01,0.01,0,0,0.11,0.06,0.17,0.26,0.5,0.26,0,0.55,1,1,0.57,0.99,0.98,0.49,0.29,0.01,0.04,0.22,0.52,0,0.07,0,0.02,0.02,0.12,0.16,0,0,0.37,0.02,0.01,0
"3462",0.01,0.01,0.06,0.71,0,0.44,0.1,0.91,0.99,0,0,0,0.38,0.01,0.02,0.54,0.56,0.27,0.08,0,0,0.13,0.07,0.02,0.04,0.01,0.01,0,0,0.15,0.03,0.11,0.08,0.07,0.02,0.01,0.66,1,1,0.78,1,0.93,0.29,0.16,0.01,0.03,0.12,0.65,0,0.09,0,0.01,0.01,0.13,0.06,0.01,0,0.16,0.01,0,0
"3464",0,0,0.36,0.97,0,0.02,0.01,0.92,0.98,0,0,0,0.8,0.01,0,0.23,0.22,0.93,0.01,0,0,0.52,0.16,0,0.02,0.02,0,0,0,0.01,0.07,0.34,0.03,0.43,0.25,0,0.34,1,0.99,0.98,0.99,1,0.04,0.95,0,0.01,0.27,0.28,0,0.08,0,0.01,0.02,0.01,0.29,0,0,0.75,0.05,0,0
"3667",0.09,0.1,0,0,0,0.02,0,0.01,0.01,0,0,0,0.03,0.03,0.01,0.04,0.05,0.07,0,0.01,0,0.01,0.04,0,0.09,0,0.02,0,0,0.04,0,0.01,0,0,0.01,0.01,0.08,0.18,0,0.19,0,0.24,0,0,0.09,0,0.04,0.05,0.03,0.02,0.01,0,0.02,0.01,0.07,0.01,0,0.01,0,0.01,0
"3740",0.05,0.13,0,0.05,0.01,0.39,0.43,0.38,0.37,0,0,0.08,0.7,0.13,0.01,0.1,0.08,0.2,0.03,0.09,0.05,0.03,0.03,0,0.18,0.01,0.05,0.01,0.05,0.04,0.02,0.45,0.27,0.01,0.02,0.03,0.09,0.94,0.97,0.81,0.97,0.97,0,0.02,0.12,0.18,0.03,0.09,0.14,0.4,0.05,0.09,0.21,0.09,0.19,0.02,0.08,0.17,0,0.13,0.2
"3916",0,0.01,0,0.01,0,0.04,0.03,0.04,0.04,0,0,0,0.03,0.01,0.01,0.03,0.03,0.03,0,0,0,0,0,0,0.05,0,0.01,0,0,0.03,0,0.01,0.01,0.01,0,0.01,0.05,0.8,0.01,0.21,0.01,0.12,0,0,0,0.01,0,0.04,0.01,0.01,0,0,0.03,0.01,0.03,0,0,0.01,0.01,0,0
"3986",0.01,0.07,0,0.02,0.01,0.01,0,0.05,0.04,0,0,0,0.04,0.05,0.03,0.04,0.06,0.05,0.01,0,0,0,0.01,0,0.11,0,0.07,0.02,0.01,0.02,0.01,0.03,0.55,0.01,0,0.04,0.07,0.96,0,0.51,0,0.09,0,0,0.07,0.01,0.01,0.06,0.09,0.02,0.01,0,0.04,0.01,0.03,0.06,0,0.02,0,0.01,0.08
"3988",0,0.01,0,0.53,0,0.35,0.46,0.75,0.76,0,0,0,0.08,0.02,0,0.11,0.13,0.27,0.1,0.02,0.01,0.07,0.13,0,0.05,0,0.02,0,0,0.04,0.02,0.07,0.01,0.18,0.08,0.01,0.19,0.99,1,0.19,1,0.96,0.02,0.01,0.02,0.01,0.02,0.23,0.01,0.04,0,0.03,0.06,0.13,0.25,0.04,0,0.01,0.01,0.02,0
"4008",0.01,0.04,0,0.02,0,0.03,0,0.07,0.06,0,0,0,0.03,0.03,0.01,0.02,0.03,0.04,0.01,0,0.01,0,0,0,0.06,0,0.02,0.01,0,0.02,0.01,0.01,0.77,0.01,0.01,0.01,0.06,0.98,0.01,0.19,0.02,0.05,0,0,0.02,0,0,0.05,0.09,0.02,0.04,0,0.03,0.01,0.02,0.02,0,0.01,0,0.01,0.09
"4018",0.01,0.04,0,0.01,0,0.01,0,0.02,0.02,0,0,0,0.03,0.02,0.01,0.06,0.05,0.06,0.01,0,0.01,0.01,0.01,0,0.09,0,0.04,0.02,0,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.06,0.75,0,0.51,0,0.16,0,0,0.03,0.02,0.05,0.05,0.01,0.03,0.01,0.01,0.02,0.01,0.06,0.09,0,0.02,0,0.01,0.01
