variable,p_value,FDR
N-substituted carboxylic acid imides,0.9141013396792177,0.9999999996246786
N-substituted imidazoles,0.02541609475225432,0.13771373789231678
N-unsubstituted carboxylic acid imides,0.0690378053267044,0.2305602177891826
Naphthalenes,0.9902911313392968,0.9999999996246786
Naphthopyrans,0.7821654005108787,0.9999999996246786
Naphthoquinones,0.37239251186317684,0.6724726478228134
Nitriles,0.9996273400375977,0.9999999996246786
Nitroaromatic compounds,0.3547114327410586,0.6651417867392205
Nitrobenzenes,0.17787954930234068,0.435272076864253
Nitrotoluenes,0.43367876778773684,0.7380879028695136
"Nucleosides, nucleotides, and analogues",0.0020263351885556986,0.04161168810839415
O-glucuronides,0.06512001509720176,0.2245371949130788
O-glycosyl compounds,0.30267948369095665,0.6087985069693105
O-methylated flavonoids,0.3653124586010188,0.6688997086797965
Olefins,0.8919665489646389,0.9999999996246786
Oligopeptides,0.06251985442096465,0.21985458740087568
"Organic 1,3-dipolar compounds",0.016060101525768884,0.10617097922672815
Organic acids and derivatives,3.3439108460341137e-4,0.025609467875783557
Organic carbonic acids and derivatives,0.11246497358927725,0.32231929804618725
Organic cations,0.9979648413435129,0.9999999996246786
Organic cyanides,0.998858006554181,0.9999999996246786
Organic disulfides,0.3301451651767628,0.6351705895248588
Organic metal salts,0.7128659295379316,0.991040844894372
Organic metalloid salts,0.26272959710163546,0.5547510923245458
Organic nitro compounds,0.8601690314890162,0.9999999996246786
Organic nitrogen compounds,0.5693138595583584,0.8841012215579029
Organic oxides,0.005359856283881362,0.06198539271923526
Organic oxoanionic compounds,0.05103584083129438,0.19781044876946946
Organic oxoazanium compounds,0.7387344475044703,0.9999999996246786
Organic peroxides,0.9749734164353895,0.9999999996246786
Organic phosphines and derivatives,0.5194354022300007,0.8307837306750915
Organic phosphonic acids,0.07565180910203588,0.2449457965437869
Organic phosphonic acids and derivatives,0.4604673957979966,0.7664833453565398
Organic phosphoramides,0.5432041533658389,0.848357074815472
Organic phosphoric acids and derivatives,0.09709434235901426,0.2904422386546604
Organic pyrophosphates,0.010688544707731685,0.0871809452029563
Organic salts,0.8639988038952955,0.9999999996246786
Organic sulfonamides,0.8959190672856874,0.9999999996246786
Organic sulfonic acids and derivatives,0.355744383114762,0.6651417867392205
Organic sulfuric acids and derivatives,0.8831355085535676,0.9999999996246786
Organic thiophosphoric acids and derivatives,0.5048959381283253,0.8173772656894536
Organic zwitterions,0.015932898440532913,0.10617097922672815
Organoboron compounds,0.9315824860952377,0.9999999996246786
Organobromides,0.17224881651157192,0.4254145189192776
Organochlorides,0.25741997971391667,0.5491086860735295
Organohalogen compounds,0.16390762637617956,0.4144521409797683
Organoheterocyclic compounds,0.002345411690261901,0.042301875846097674
Organometallic compounds,0.3607908109806295,0.6675258558561472
Organometalloid compounds,0.3976747460531916,0.6976560780871777
