featureID,important_org,N,N/C,AI-mod,O,DBE,DBE/C
2044,not,4,0.19047619,0.588235294,0,12,0.571428571
2045,not,1,0.066666667,0,9,0,0
2046,not,1,0.066666667,0,9,0,0
2048,not,1,0.041666667,0.25,2,7,0.291666667
2049,not,4,0.222222222,0.2,3,6,0.333333333
2050,not,9,0.692307692,0,4,5,0.384615385
2051,not,1,0.055555556,0,7,4,0.222222222
2052,not,4,0.235294118,0.181818182,4,6,0.352941176
2053,not,1,0.047619048,0.285714286,5,8,0.380952381
2054,not,5,0.263157895,0.32,3,8,0.421052632
2055,not,1,0.0625,0,7,0,0
2056,not,1,0.045454545,0.236842105,4,7,0.318181818
2057,not,1,0.045454545,0.025,2,2,0.090909091
2058,not,0,0,0.277777778,4,8,0.380952381
2059,not,2,0.111111111,0,6,2,0.111111111
2060,not,3,0.157894737,0.034482759,3,3.5,0.184210526
2061,not,1,0.047619048,0.171428571,5,6,0.285714286
2062,not,0,0,0.166666667,6,6,0.285714286
2063,not,0,0,0.361702128,3,10,0.4
2064,not,4,0.210526316,0.153846154,4,6,0.315789474
2065,not,0,0,0.128205128,5,5,0.227272727
2066,not,5,0.294117647,0,4,-0.5,-0.029411765
2067,not,0,0,0,8,0,0
2068,not,0,0,0.076923077,5,4,0.181818182
2069,not,1,0.045454545,0.432432432,5,11,0.5
2070,not,1,0.058823529,0,8,0,0
2071,not,1,0.058823529,0,8,0,0
2072,not,4,0.25,0,6,-0.5,-0.03125
2073,not,2,0.111111111,0.12,7,6,0.333333333
2074,not,6,0.352941176,0,4,5,0.294117647
2075,not,2,0.086956522,0,2,1,0.043478261
2076,not,1,0.066666667,0,10,1,0.066666667
2077,not,1,0.0625,0,9,0,0
2078,not,1,0.0625,0,9,0,0
2079,not,1,0.043478261,0,3,1,0.043478261
2080,not,0,0,0.066666667,8,5,0.263157895
2081,not,0,0,0.272727273,4,8,0.333333333
2082,not,4,0.285714286,0,8,-0.5,-0.035714286
2083,not,1,0.043478261,0.275,4,8,0.347826087
2084,not,1,0.041666667,0.23255814,3,7,0.291666667
2085,not,1,0.041666667,0.23255814,3,7,0.291666667
2086,not,1,0.041666667,0.23255814,3,7,0.291666667
2087,not,1,0.041666667,0.23255814,3,7,0.291666667
2088,not,0,0,0.268292683,3,8,0.347826087
2089,not,4,0.2,0.357142857,4,9,0.45
2090,not,0,0,0.227272727,4,7,0.291666667
2091,not,1,0.045454545,0.27027027,5,8,0.363636364
2092,not,1,0.045454545,0.27027027,5,8,0.363636364
2093,not,8,0.727272727,0,7,-0.5,-0.045454545
2094,not,3,0.1875,0,8,4.5,0.28125
2095,not,0,0,0.181818182,4,6,0.25
2096,not,1,0.043478261,0.2,2,6,0.260869565
2097,not,4,0.222222222,0.363636364,6,9,0.5
2098,not,2,0.111111111,0,1,2,0.111111111
2099,not,4,0.19047619,0.161290323,3,6,0.285714286
2100,not,2,0.1,0,3,-0.5,-0.025
2101,not,0,0,0.2,7,7,0.333333333
2102,not,3,0.15,0.137931034,5,6,0.3
2103,not,3,0.166666667,0.173913043,5,7,0.388888889
2104,not,4,0.25,0,3,0.5,0.03125
2105,not,1,0.055555556,0,8,0,0
2106,not,1,0.038461538,0.270833333,2,8,0.307692308
2107,not,1,0.038461538,0.270833333,2,8,0.307692308
2108,not,1,0.041666667,0,3,2,0.083333333
2109,not,3,0.142857143,0,4,3.5,0.166666667
2110,not,1,0.058823529,0,9,0,0
2111,not,1,0.041666667,0.30952381,4,9,0.375
2112,not,1,0.04,0.266666667,3,8,0.32
2113,not,1,0.041666667,0,3,1,0.041666667
2114,not,7,0.583333333,0,8,1,0.083333333
2115,not,1,0.041666667,0.261904762,4,8,0.333333333
2116,not,0,0,0.450980392,3,13,0.481481481
2117,not,0,0,0,8,4,0.2
2118,not,0,0,0.255813953,5,8,0.333333333
2119,not,1,0.05,0,7,3,0.15
2120,not,1,0.041666667,0.214285714,4,7,0.291666667
2121,not,1,0.045454545,0.277777778,4,8,0.363636364
2122,not,1,0.045454545,0.277777778,4,8,0.363636364
2123,not,1,0.045454545,0.25,6,8,0.363636364
2124,not,1,0.045454545,0.277777778,4,8,0.363636364
2125,not,1,0.045454545,0.25,6,8,0.363636364
2126,not,1,0.045454545,0.277777778,4,8,0.363636364
2127,not,1,0.043478261,0.230769231,3,7,0.304347826
2128,not,0,0,0.243243243,5,8,0.363636364
2129,not,1,0.045454545,0.222222222,4,7,0.318181818
2130,not,1,0.045454545,0.222222222,4,7,0.318181818
2131,not,1,0.045454545,0.222222222,4,7,0.318181818
2132,not,1,0.045454545,0.194444444,6,7,0.318181818
2133,not,3,0.142857143,0.193548387,5,7,0.333333333
2134,not,1,0.041666667,0.119047619,4,5,0.208333333
2135,not,1,0.041666667,0.119047619,4,5,0.208333333
2136,not,2,0.086956522,0.513513514,5,13,0.565217391
2137,not,2,0.117647059,0,5,3,0.176470588
2138,not,6,0.5,0,8,5,0.416666667
2139,not,0,0,0.5,2,15,0.517241379
2140,not,5,0.277777778,0.15,6,7,0.388888889
2141,not,1,0.052631579,0,8,0,0
2142,not,6,0.315789474,0,4,5,0.263157895
2143,not,1,0.047619048,0.060606061,7,5,0.238095238
2144,not,5,0.25,0,4,4,0.2
2145,not,8,0.615384615,2,4,9,0.692307692
2146,not,1,0.058823529,0,10,0,0
2147,not,1,0.038461538,0.212765957,3,7,0.269230769
2148,not,2,0.125,0.411764706,3,8,0.5
2149,not,0,0,0,8,1,0.052631579
2150,not,0,0,0.244444444,5,8,0.32
2151,not,4,0.266666667,0.083333333,2,7,0.466666667
2152,not,4,0.2,0.307692308,6,9,0.45
2153,not,0,0,0,7,1,0.045454545
2154,not,3,0.136363636,0.181818182,5,7,0.318181818
2155,not,2,0.117647059,0.578947368,3,12,0.705882353
2156,not,0,0,0.179487179,7,7,0.304347826
2158,not,1,0.043478261,0.357142857,2,9,0.391304348
2159,not,1,0.045454545,0.171428571,7,7,0.318181818
2160,not,1,0.045454545,0.171428571,7,7,0.318181818
2161,not,0,0,0.458333333,2,11,0.611111111
2162,not,1,0.045454545,0.114285714,7,6,0.272727273
2163,not,1,0.045454545,0.114285714,7,6,0.272727273
2164,not,1,0.037037037,0.285714286,3,9,0.333333333
2165,not,1,0.037037037,0.285714286,3,9,0.333333333
2166,not,6,0.272727273,0.448275862,3,11,0.5
2167,not,1,0.041666667,0.375,6,11,0.458333333
2168,not,1,0.052631579,0,9,0,0
2169,not,2,0.095238095,0.032258065,7,5,0.238095238
2170,not,0,0,0.162790698,5,6,0.25
2171,not,3,0.142857143,0,6,4.5,0.214285714
2172,not,1,0.055555556,0,10,0,0
2173,not,1,0.055555556,0,10,0,0
2175,not,1,0.038461538,0.239130435,4,8,0.307692308
2176,not,1,0.04,0,4,1,0.04
2177,not,5,0.333333333,0,9,0.5,0.033333333
2178,not,6,0.352941176,0,7,5,0.294117647
2179,not,0,0,0.16,4,6,0.222222222
2180,not,1,0.052631579,0,8,5,0.263157895
2181,not,1,0.043478261,0.108108108,7,6,0.260869565
2182,not,1,0.037037037,0.3125,4,10,0.37037037
2183,not,1,0.037037037,0.3125,4,10,0.37037037
2184,not,4,0.2,0,6,-0.5,-0.025
2185,not,1,0.05,0,9,0,0
2186,not,1,0.05,0,9,0,0
2187,not,4,0.210526316,0,7,-0.5,-0.026315789
2188,not,0,0,0,7,3,0.125
2189,not,1,0.055555556,0,11,0,0
2190,not,5,0.25,0,6,4,0.2
2191,not,2,0.105263158,0,6,1,0.052631579
2192,not,1,0.045454545,0,6,3.5,0.159090909
2193,not,7,0.35,0.043478261,3,5.5,0.275
2194,not,10,0.588235294,0.555555556,5,10,0.588235294
2195,not,2,0.08,0.12195122,5,6,0.24
2196,not,8,0.333333333,0.933333333,2,19,0.791666667
2198,not,2,0.071428571,0.265306122,3,9,0.321428571
2199,not,6,0.260869565,0.4,4,11,0.47826087
2200,not,1,0.05,0,10,0,0
2201,not,1,0.052631579,0,11,0,0
2202,not,1,0.052631579,0,11,0,0
2203,not,1,0.04,0,6,2,0.08
2204,not,6,0.272727273,0.185185185,5,8,0.363636364
2205,not,2,0.117647059,0,7,1,0.058823529
2206,not,2,0.086956522,0,6,3,0.130434783
2207,not,4,0.25,0,4,5.5,0.34375
2208,not,6,0.24,0.314285714,3,10,0.4
2209,not,1,0.047619048,0,10,0,0
2210,not,11,0.6875,0,5,0,0
2211,not,10,0.714285714,0,9,10,0.714285714
2212,not,0,0,0.276595745,7,10,0.37037037
2213,not,1,0.052631579,0,12,1,0.052631579
2214,not,1,0.05,0,11,0,0
2215,not,1,0.05,0,11,0,0
2216,not,1,0.045454545,0.548387097,5,13,0.590909091
2217,not,2,0.071428571,0.125,4,6,0.214285714
2218,not,2,0.068965517,0.28,4,10,0.344827586
2219,not,7,0.35,0.105263158,7,8,0.4
2220,not,4,0.166666667,0,6,5,0.208333333
2221,not,1,0.045454545,0,10,0,0
2222,not,6,0.272727273,0,6,5,0.227272727
2223,not,1,0.047619048,0,11,0,0
2224,not,1,0.05,0,12,0,0
2225,not,1,0.083333333,11,11,14,1.166666667
2226,not,1,0.029411765,0,0,0,0
2227,not,10,0.526315789,0.333333333,6,10,0.526315789
2228,not,1,0.038461538,0.119047619,8,7,0.269230769
2229,not,15,0.9375,0,2,5,0.3125
2230,not,6,0.260869565,0,6,6,0.260869565
2231,not,5,0.2,0,5,4,0.16
2232,not,0,0,0.272727273,8,11,0.578947368
2233,not,2,0.068965517,0.183673469,5,8,0.275862069
2234,not,6,0.260869565,0,6,4,0.173913043
2235,not,1,0.05,0,13,1,0.05
2236,not,3,0.15,0,9,0,0
2237,not,1,0.047619048,0,12,0,0
2238,not,9,0.391304348,0.291666667,4,10,0.434782609
2239,not,4,0.181818182,0,5,0,0
2240,not,1,0.033333333,0.113207547,5,6,0.2
2241,not,5,0.185185185,0.268292683,3,9.5,0.351851852
2242,not,11,0.523809524,0,4,6,0.285714286
2243,not,0,0,0,2,2,0.066666667
2244,important,1,0.043478261,0,11,0,0
2245,not,8,0.470588235,0,6,2,0.117647059
2246,not,1,0.045454545,0,12,0,0
2247,not,1,0.045454545,0,12,0,0
2248,not,2,0.060606061,0.322033898,3,12,0.363636364
2249,not,2,0.066666667,0.137254902,5,7,0.233333333
2250,not,0,0,0,4,6,0.4
2251,not,2,0.074074074,0.56097561,9,17,0.62962963
2252,not,8,0.285714286,0.421052632,2,13,0.464285714
2253,not,5,0.192307692,0.138888889,6,8,0.307692308
2254,not,1,0.034482759,0.12244898,7,7,0.24137931
2255,not,1,0.027777778,0,0,0,0
2256,not,1,0.027777778,0,0,0,0
2257,not,1,0.04,0.243243243,9,10,0.4
2258,not,2,0.0625,0.25,4,10,0.3125
2259,not,2,0.064516129,0.245283019,5,10,0.322580645
2260,not,1,0.034482759,0,7,4,0.137931034
2261,not,5,0.2,0,7,5,0.2
2262,not,10,0.434782609,0,4,4,0.173913043
2263,not,8,0.266666667,0.090909091,0,6,0.2
2264,not,1,0.043478261,0,12,0,0
2265,not,1,0.032258065,0.166666667,6,8,0.258064516
2266,not,5,0.2,0,7,4,0.16
2267,not,1,0.045454545,0,13,0,0
2268,not,2,0.090909091,0,11,7,0.318181818
2269,not,2,0.060606061,0.310344828,4,12,0.363636364
2270,not,2,0.060606061,0.310344828,4,12,0.363636364
2271,not,2,0.060606061,0.310344828,4,12,0.363636364
2272,not,1,0.033333333,0.117647059,7,7,0.233333333
2273,not,6,0.24,0.161290323,7,9,0.36
2274,not,12,0.666666667,0,7,5,0.277777778
2275,not,0,0,0,4,2,0.066666667
2276,not,2,0.058823529,0,2,2,0.058823529
2277,not,10,0.476190476,0.2,7,10,0.476190476
2278,not,1,0.043478261,0,13,0,0
2279,not,3,0.115384615,0,9,3,0.115384615
2280,not,1,0.026315789,0,0,0,0
2281,not,6,0.230769231,0.151515152,7,9,0.346153846
2282,not,1,0.032258065,0.075471698,7,6,0.193548387
2283,not,10,0.434782609,0,4,4,0.173913043
2284,not,1,0.032258065,0.037735849,7,5,0.161290323
2285,not,2,0.0625,0.277777778,4,11,0.34375
2286,not,2,0.090909091,0.36,5,12,0.545454545
2287,not,5,0.178571429,0,6,4,0.142857143
2288,not,12,0.545454545,0,5,6,0.272727273
2289,not,0,0,0.314285714,4,13,0.351351351
2290,not,10,0.357142857,0.176470588,2,9,0.321428571
2291,not,4,0.129032258,0,4,1,0.032258065
2292,not,2,0.058823529,0,2,2,0.058823529
2293,not,9,0.473684211,0,10,2,0.105263158
2294,not,2,0.060606061,0.122807018,5,7,0.212121212
2295,not,1,0.041666667,0,13,0,0
2296,not,0,0,0,10,0,0
2298,not,2,0.055555556,0,2,2,0.055555556
2299,not,6,0.25,0.230769231,10,11,0.458333333
2300,not,4,0.148148148,0,8,-0.5,-0.018518519
2301,not,2,0.0625,0.245283019,7,11,0.34375
2302,not,1,0.03030303,0.175438596,7,9,0.272727273
2303,not,12,0.545454545,0,6,5,0.227272727
2304,not,0,0,0.275362319,5,12,0.324324324
2305,not,1,0.041666667,0,14,0,0
2306,not,5,0.2,0,10,4,0.16
2307,not,10,0.434782609,0.111111111,8,10,0.434782609
2308,not,4,0.137931034,0,4,6,0.206896552
2309,not,6,0.181818182,0.176470588,3,9,0.272727273
2311,not,2,0.055555556,0,2,2,0.055555556
2312,not,2,0.0625,0.192307692,8,10,0.3125
2313,not,2,0.066666667,0.083333333,8,7,0.233333333
2314,not,5,0.147058824,0.314814815,4,13,0.382352941
2315,not,5,0.147058824,0.314814815,4,13,0.382352941
2316,not,6,0.2,0.095238095,6,8,0.266666667
2317,not,6,0.2,0,6,6,0.2
2318,not,9,0.28125,0.204545455,2,10,0.3125
2319,not,2,0.060606061,0.185185185,8,10,0.303030303
2320,not,2,0.060606061,0.185185185,8,10,0.303030303
2321,not,2,0.060606061,0.185185185,8,10,0.303030303
2322,not,2,0.057142857,0.133333333,6,8,0.228571429
2323,not,7,0.233333333,0.125,6,9,0.3
2324,not,4,0.166666667,0,13,-0.5,-0.020833333
2325,not,2,0.071428571,0,10,4,0.142857143
2326,not,6,0.1875,0.347826087,6,14,0.4375
2327,not,11,0.611111111,0,9,9,0.5
2328,not,3,0.107142857,0,11,3,0.107142857
2329,not,4,0.137931034,0,9,-0.5,-0.017241379
2330,not,8,0.222222222,0.071428571,0,6,0.166666667
2331,not,5,0.161290323,0,7,4,0.129032258
2332,not,2,0.058823529,0.178571429,8,10,0.294117647
2333,not,12,0.5,0,7,6,0.25
2334,not,12,0.428571429,0.142857143,4,10,0.357142857
2335,not,0,0,0.25,6,12,0.307692308
2336,not,1,0.038461538,0,15,0,0
2337,not,1,0.029411765,0.070175439,9,7,0.205882353
2338,not,10,0.4,0.047619048,9,10,0.4
2339,not,14,0.7,11,11,18,0.9
2340,not,5,0.2,0,4,7,0.28
2342,not,1,0.028571429,0,10,3,0.085714286
2343,important,10,0.322580645,0.111111111,6,10,0.322580645
2344,not,4,0.125,0,10,4,0.125
2345,not,7,0.269230769,0,10,0,0
2346,not,1,0.035714286,0,16,0,0
2347,not,5,0.147058824,0,8,4,0.117647059
2348,not,2,0.045454545,0.024390244,2,3,0.068181818
2349,not,7,0.212121212,0.465116279,9,18,0.545454545
2350,not,13,0.52,0,3,1.5,0.06
2351,not,5,0.15625,0,10,3,0.09375
2352,not,11,0.523809524,0,9,9,0.428571429
2353,not,10,0.333333333,0,8,8,0.266666667
2354,not,1,0.027027027,0,8,4,0.108108108
2355,not,1,0.027027027,0,8,4,0.108108108
2356,not,8,0.275862069,0,11,6,0.206896552
2357,not,7,0.194444444,0,6,6,0.166666667
2358,not,5,0.142857143,0,9,5,0.142857143
2359,not,5,0.147058824,0,10,4,0.117647059
2360,important,10,0.303030303,0.076923077,7,10,0.303030303
2361,not,1,0.033333333,0,17,0,0
2362,not,2,0.05,0.223880597,9,13,0.325
2363,not,2,0.05,0.223880597,9,13,0.325
2364,not,10,0.285714286,0,4,4,0.114285714
2365,not,1,0.028571429,0,14,3,0.085714286
2366,not,6,0.142857143,0.343283582,5,17,0.404761905
2367,not,2,0.05,0.181818182,10,12,0.3
2369,not,6,0.171428571,0,10,6,0.171428571
2370,not,7,0.2,0,7,4,0.114285714
2371,not,4,0.108108108,0,9,5,0.135135135
2372,not,2,0.05,0.138461538,11,11,0.275
2373,not,18,0.692307692,0,8,9,0.346153846
2374,not,8,0.258064516,0,13,4,0.129032258
2375,not,1,0.04,0,25,5,0.2
2378,not,10,0.23255814,0.333333333,6,18,0.418604651
2387,not,1,0.111111111,0.5,2,5,0.555555556
2388,not,4,0.5,0.714285714,1,5,0.625
2389,not,1,0.2,2,3,4.5,0.9
2390,not,0,0,0,3,1,0.125
2391,not,1,0.090909091,0.277777778,2,4,0.363636364
2392,not,0,0,0.263157895,3,4,0.363636364
2393,not,0,0,0.263157895,3,4,0.363636364
2394,not,1,0.2,0.5,6,4,0.8
2395,not,4,0.666666667,0,2,6,1
2396,not,1,0.125,0,5,3,0.375
2397,not,0,0,0.333333333,2,5,0.384615385
2398,not,1,0.166666667,1.25,6,6,1
2399,not,0,0,0.285714286,1,4,0.333333333
2400,not,0,0,0.111111111,4,3,0.272727273
2401,not,0,0,0.368421053,1,5,0.454545455
2402,not,0,0,0.47826087,3,7,0.538461538
2403,not,2,0.166666667,0.555555556,2,7,0.583333333
2404,not,0,0,0.230769231,2,4,0.285714286
2405,not,0,0,0.230769231,2,4,0.285714286
2406,not,0,0,0.217391304,3,4,0.307692308
2407,not,0,0,0.36,3,6,0.428571429
2408,not,2,0.181818182,0.642857143,2,7,0.636363636
2409,not,0,0,0.363636364,4,6,0.461538462
2410,not,0,0,0.363636364,4,6,0.461538462
2411,not,0,0,0.28,3,5,0.357142857
2412,not,0,0,0.28,3,5,0.357142857
2413,not,1,0.083333333,0.388888889,4,6,0.5
2414,not,0,0,0.181818182,4,4,0.307692308
2415,not,0,0,0.181818182,4,4,0.307692308
2416,not,0,0,0,3,0,0
2417,not,0,0,0.157894737,5,4,0.333333333
2418,not,4,0.5,0,3,1,0.125
2419,not,0,0,0.090909091,4,3,0.230769231
2420,not,0,0,0.4,2,7,0.4375
2421,not,3,0.5,0,0,6,1
2422,not,0,0,0.416666667,4,7,0.5
2423,not,2,0.153846154,0.473684211,3,7,0.538461538
2424,not,2,0.153846154,0.473684211,3,7,0.538461538
2425,not,0,0,0.266666667,2,5,0.3125
2426,not,0,0,0.333333333,4,6,0.428571429
2427,not,0,0,0.333333333,5,6,0.461538462
2428,not,1,0.1,0,6,0,0
2429,not,1,0.055555556,0.441176471,0,8,0.444444444
2430,not,0,0,0.166666667,4,4,0.285714286
2431,not,1,0.055555556,0.382352941,0,7,0.388888889
2432,not,3,0.6,0,7,5,1
2433,not,1,0.055555556,0.323529412,0,6,0.333333333
2434,not,0,0,0.375,2,7,0.411764706
2435,not,0,0,0.375,2,7,0.411764706
2436,not,1,0.083333333,0,5,3,0.25
2437,not,1,0.0625,0.392857143,2,7,0.4375
2438,not,1,0.0625,0.392857143,2,7,0.4375
2439,not,1,0.076923077,0,4,2,0.153846154
2440,not,0,0,0.379310345,3,7,0.4375
2441,not,8,0.888888889,0,2,8,0.888888889
2442,not,2,0.153846154,0.444444444,4,7,0.538461538
2443,important,6,0.857142857,0,5,1.5,0.214285714
2444,not,0,0,0.217391304,5,5,0.357142857
2445,not,0,0,0,5,1,0.083333333
2446,not,1,0.076923077,0,5,3,0.230769231
2447,not,2,0.133333333,0.304347826,3,6,0.4
2448,not,0,0,0.225806452,3,5,0.294117647
2449,not,0,0,0.225806452,3,5,0.294117647
2450,not,2,0.2,0,5,2.5,0.25
2451,not,2,0.142857143,0.3,4,6,0.428571429
2452,not,2,0.142857143,0.3,4,6,0.428571429
2453,not,4,0.333333333,0.5,2,6.5,0.541666667
2454,not,0,0,0.090909091,6,4,0.285714286
2455,not,0,0,0.609756098,1,13,0.619047619
2456,not,1,0.058823529,0,2,0,0
2457,not,0,0,0.230769231,4,5,0.333333333
2458,not,1,0.066666667,0.391304348,3,7.5,0.5
2459,not,4,0.307692308,0.571428571,2,8,0.615384615
2460,not,0,0,0.266666667,4,6,0.352941176
2461,not,1,0.066666667,0.347826087,5,7,0.466666667
2462,not,4,0.4,0,2,2,0.2
2463,not,3,0.230769231,0.066666667,5,4.5,0.346153846
2464,not,0,0,0.371428571,3,8,0.421052632
2466,not,0,0,0.3125,4,7,0.388888889
2467,not,1,0.058823529,0.321428571,4,7,0.411764706
2468,important,1,0.055555556,0.258064516,3,6,0.333333333
2469,not,1,0.058823529,0.25,4,6,0.352941176
2470,not,4,0.444444444,0,8,4,0.444444444
2471,not,2,0.133333333,0.333333333,5,7,0.466666667
2472,not,0,0,0.1875,4,5,0.277777778
2473,not,0,0,0.172413793,5,5,0.294117647
2474,not,0,0,0.085714286,3,3,0.157894737
2475,not,9,0.75,0,1,4,0.333333333
2477,not,1,0.0625,0,5,3,0.1875
2478,not,2,0.142857143,0,6,4,0.285714286
2479,not,2,0.153846154,0,5,3.5,0.269230769
2480,not,6,0.461538462,0.8,4,9,0.692307692
2481,not,6,0.461538462,0.8,4,9,0.692307692
2482,not,0,0,0.357142857,6,8,0.470588235
2483,not,0,0,0.189189189,3,5,0.25
2484,not,6,0.666666667,0,5,4,0.444444444
2485,not,2,0.111111111,0.103448276,3,4,0.222222222
2486,not,1,0.058823529,0.074074074,5,4,0.235294118
2488,not,0,0,0.333333333,5,8,0.421052632
2489,not,0,0,0.277777778,4,7,0.35
2490,not,0,0,0.272727273,5,7,0.368421053
2491,not,0,0,0.179487179,3,5,0.238095238
2493,not,1,0.045454545,0.097560976,1,3,0.136363636
2494,not,4,0.266666667,0.352941176,3,7,0.466666667
2495,not,0,0,0.076923077,3,3,0.142857143
2496,not,1,0.045454545,0,1,1,0.045454545
2497,not,1,0.043478261,0,0,0,0
2498,not,8,0.8,0,6,8,0.8
2499,not,1,0.05,0.382352941,4,9,0.45
2500,not,0,0,0.268292683,3,7,0.318181818
2501,not,1,0.058823529,0,6,3,0.176470588
2502,not,0,0,0.219512195,3,6,0.272727273
2503,not,0,0,0.219512195,3,6,0.272727273
2504,not,0,0,0.257142857,5,7,0.35
2505,not,0,0,0.210526316,4,6,0.285714286
2506,not,1,0.052631579,0.258064516,5,7,0.368421053
2508,not,1,0.083333333,0,3,4.5,0.375
2509,not,0,0,0.142857143,5,5,0.25
2510,not,4,0.307692308,0,7,-0.5,-0.038461538
2511,not,1,0.04,0.145833333,0,4,0.16
2512,not,4,0.307692308,0,2,6,0.461538462
2513,not,2,0.111111111,0.5,4,10,0.555555556
2514,not,0,0,0.297297297,5,8,0.380952381
2515,not,10,0.909090909,0,5,11,1
2516,not,2,0.105263158,0.24137931,5,7,0.368421053
2517,not,1,0.041666667,0.044444444,1,2,0.083333333
2518,not,1,0.04,0,0,0,0
2519,not,2,0.142857143,0.714285714,6,10,0.714285714
2520,not,1,0.071428571,0,10,1,0.071428571
2521,not,1,0.043478261,0.292682927,3,8,0.347826087
2522,not,1,0.045454545,0,3,1,0.045454545
2523,not,0,0,0.230769231,5,7,0.318181818
2524,not,2,0.086956522,0,2,1,0.043478261
2525,not,1,0.043478261,0.325,4,9,0.391304348
2526,not,7,0.4375,0,4,5,0.3125
2527,not,1,0.05,0.387096774,5,10,0.5
2528,not,3,0.142857143,0.3125,2,8,0.380952381
2529,not,0,0,0.257142857,7,8,0.380952381
2530,not,3,0.166666667,0,5,4,0.222222222
2531,not,1,0.055555556,0,8,0,0
2532,not,1,0.041666667,0,3,1,0.041666667
2533,not,4,0.4,0,3,5.5,0.55
2534,not,4,0.25,0.933333333,3,12,0.75
2535,not,1,0.037037037,0.571428571,3,16,0.592592593
2536,not,1,0.058823529,0,10,0,0
2537,not,0,0,0.238095238,4,8,0.333333333
2538,not,10,0.476190476,0.818181818,0,14,0.666666667
2539,not,0,0,0.277777778,8,9,0.409090909
2540,not,2,0.1,0.407407407,9,11,0.55
2541,not,6,0.285714286,0.68,3,14,0.666666667
2542,not,2,0.117647059,0,7,1,0.058823529
2543,not,1,0.041666667,0.526315789,2,13,0.541666667
2544,not,7,0.368421053,0,4,6,0.315789474
2545,not,5,0.217391304,0,5,5,0.217391304
2546,not,1,0.045454545,0.548387097,5,13,0.590909091
2547,not,2,0.071428571,0.125,4,6,0.214285714
2548,not,1,0.035714286,0.1875,6,8,0.285714286
2549,not,0,0,0,10,1,0.045454545
2550,not,4,0.5,0,9,6,0.75
2551,not,3,0.12,0.416666667,8,13,0.52
2552,not,2,0.074074074,0.523809524,4,16,0.592592593
2553,not,1,0.034482759,0.1,6,6,0.206896552
2554,not,10,0.714285714,0,12,14,1
2555,not,6,0.24,0,5,4,0.16
2556,not,1,0.027777778,0,0,0,0
2557,not,5,0.192307692,0,6,5,0.192307692
2558,not,10,0.434782609,0,4,4,0.173913043
2559,not,1,0.045454545,0,10,7,0.318181818
2560,not,14,0.875,0,5,15,0.9375
2561,not,1,0.045454545,0,14,1,0.045454545
2562,not,1,0.026315789,0,0,0,0
2563,not,1,0.026315789,0,0,0,0
2564,not,2,0.0625,0.160714286,2,7,0.21875
2565,not,4,0.166666667,0.555555556,13,16,0.666666667
2566,not,7,0.225806452,0.088888889,3,7,0.225806452
2567,not,1,0.041666667,0,15,1,0.041666667
2568,not,2,0.090909091,0,16,2,0.090909091
2569,important,1,0.037037037,0,13,0,0
2570,not,1,0.038461538,0,14,0,0
2571,not,7,0.318181818,0,6,-0.5,-0.022727273
2572,not,11,0.392857143,0.137931034,5,10,0.357142857
2573,not,11,0.5,0.363636364,9,13,0.590909091
2574,not,6,0.285714286,0,16,7,0.333333333
2575,not,2,0.060606061,0.31372549,5,13,0.393939394
2576,not,4,0.142857143,0.088235294,4,8,0.285714286
2577,not,10,0.37037037,0,6,9,0.333333333
2578,not,2,0.057142857,0.2,11,12,0.342857143
2579,not,10,0.285714286,0,4,4,0.114285714
2580,not,2,0.05,0.223880597,9,13,0.325
2581,not,4,0.097560976,0.076923077,9,9,0.219512195
2586,not,3,0.75,0,1,5,1.25
2587,not,1,0.111111111,0.538461538,3,5.5,0.611111111
2588,not,3,0.375,0.428571429,3,4.5,0.5625
2589,not,0,0,0.185185185,1,3,0.214285714
2590,not,0,0,0.217391304,3,4,0.307692308
2591,not,2,0.142857143,0.083333333,0,2,0.142857143
2592,not,0,0,0.2,4,4,0.333333333
2593,not,1,0.076923077,0.045454545,2,2,0.153846154
2594,important,0,0,0.176470588,5,4,0.363636364
2595,not,2,0.153846154,0.227272727,0,3.5,0.269230769
2596,not,1,0.071428571,0.208333333,2,4,0.285714286
2597,not,4,0.363636364,0.333333333,2,5,0.454545455
2598,not,0,0,0.181818182,4,4,0.307692308
2599,not,3,0.25,0,2,2,0.166666667
2600,not,0,0,0,4,0,0
2601,not,1,0.0625,0.892857143,2,14,0.875
2602,not,1,0.083333333,0,4,2,0.166666667
2603,not,0,0,0.333333333,4,6,0.428571429
2604,not,0,0,0.5,2,9,0.529411765
2605,not,2,0.166666667,0.125,4,4,0.333333333
2606,not,3,0.25,0,3,3,0.25
2607,not,1,0.083333333,0,5,3,0.25
2608,not,0,0,0.384615385,4,7,0.466666667
2609,not,2,0.142857143,0.428571429,3,7,0.5
2610,not,1,0.1,0,7,3,0.3
2611,not,1,0.071428571,0.363636364,2,6.5,0.464285714
2612,not,0,0,0.307692308,4,6,0.4
2613,not,0,0,0.217391304,5,5,0.357142857
2614,not,0,0,0.35483871,3,7,0.411764706
2615,not,2,0.133333333,0.391304348,3,7,0.466666667
2616,not,1,0.058823529,0.233333333,2,5,0.294117647
2617,not,1,0.071428571,0,4,0,0
2618,not,1,0.083333333,0.117647059,3,3.5,0.291666667
2619,not,0,0,0.181818182,6,5,0.357142857
2620,not,4,0.363636364,0.222222222,1,5,0.454545455
