Taxonomy,CCE-P1706_139_D_I,CCE-P1706_140_D_I,CCE-P1706_145_D_I,CCE-P1706_146_D_I,CCE-P1706_47_D_I,CCE-P1706_49_D_I,CCE-P1706_59_D_I,CCE-P1706_61_D_I,CCE-P1706_71_D_I,CCE-P1706_73_D_I,Exp1_Pn-delicatissima_A_I,Exp1_Pn-delicatissima_A_II,Exp1_Pn-delicatissima_B_I,Exp1_Pn-delicatissima_B_II,Exp1_Pn-multiseries_A_I,Exp1_Pn-multiseries_A_II,Exp1_Pn-subpacifica_A_I,Exp1_Pn-subpacifica_A_II,Exp1_Pn-subpacifica_B_I,Exp1_Pn-subpacifica_B_II,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I,Piers_Goleta_I_I,Piers_NewportBeach_I_I,Piers_NewportBeach_M_I,Piers_SantaMonica_I_I,Piers_Scripps_I_I,Piers_Scripps_M_I,Piers_StearnWharf_I_I
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008381883196845238,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus;8335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007083960546372799,0,0,0,0,0.009789363770353233
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus;uncultured Prolixibacter sp.;6865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006336076333792783,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;uncultured organism;uncultured organism;uncultured organism;2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006336076333792783,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;10130,0.022520251934342112,0.015310000990116113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;2608,0,0,0.01127100680064999,0.010710256469678998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira;Saprospira sp. CNJ640;8101,0,0,0,0,0,0,0,0,0.006485217043422009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013845640884376448,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira;uncultured Bacteroidetes bacterium;1764,0,0,0,0,0.020234908207449873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira;uncultured Bacteroidetes bacterium;968,0.014134019971315557,0.02364328874755735,0.020870922595298772,0.018028679992434456,0,0,0,0.016803624641331096,0,0.009734248496687843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Aureispira;uncultured Bacteroidetes bacterium;9889,0.010371375787376855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
