feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important,multiseries_important,delicatissima_important,galaxiae_important,hasleana_important,subpacifica_important
X8461,5.5e-5,2.4e-5,1.5e-5,2.5e-5,5.7333333333333336e-5,3.748104140441601e-5,0.001957939570837853,not important,not important,not important,not important,not important,not important
X8463,1.0666666666666667e-5,-1.2333333333333334e-5,3.5e-5,0,4e-6,8.283272283272282e-6,6.270187590187591e-4,not important,not important,not important,not important,not important,not important
X8464,7.800000000000001e-5,8.333333333333329e-6,1.4233333333333331e-4,1.8333333333333336e-4,7.013333333333334e-4,2.0321452189021844e-4,0.008560751662278977,not important,not important,not important,not important,not important,not important
X8465,3.933333333333333e-5,6.566666666666666e-5,6.476190476190475e-6,1.3766666666666666e-4,5.166666666666666e-5,6.395458952811895e-5,0.0038226265470104864,not important,not important,not important,not important,not important,not important
X8466,0,0,6e-6,1.6666666666666664e-5,0,4.3181818181818185e-6,3.997070707070707e-4,not important,not important,not important,not important,not important,not important
X8467,2.9666666666666658e-5,8.033333333333335e-5,4.899999999999999e-5,7.833333333333334e-5,7.143333333333334e-4,1.8832248307248307e-4,0.008682210416302495,not important,not important,not important,not important,not important,not important
X8468,5.1333333333333325e-5,1.733333333333333e-4,5.566666666666667e-5,3.06e-4,1.6e-5,1.258524906466083e-4,0.006153592044744723,not important,not important,not important,not important,not important,not important
X8469,3.199999999999999e-5,2.3966666666666665e-4,9.666666666666663e-5,1.2100000000000001e-4,1.5566666666666666e-4,1.2198086880439822e-4,0.009206822778379692,not important,not important,not important,not important,not important,not important
X8472,-6e-6,-1.4999999999999997e-5,7.333333333333334e-6,0,1.1666666666666665e-5,1.2271719508561625e-6,0.0010590276716747305,not important,not important,not important,not important,not important,not important
X8474,7.400000000000001e-5,-1.833333333333333e-5,0,5.8e-5,2.966666666666667e-5,3.205396882099668e-5,0.0021699825174825173,not important,not important,not important,not important,not important,not important
X8475,3.683333333333334e-4,8.166666666666668e-5,4.700000000000001e-5,4.7833333333333327e-4,6.026666666666666e-4,3.5642447662416693e-4,0.012891950896026669,not important,not important,not important,not important,not important,not important
X8477,1.5e-5,0,7.333333333333333e-6,6.666666666666667e-6,0,8.517399267399267e-6,6.792380952380953e-4,not important,not important,not important,not important,not important,not important
X8478,4e-6,1e-5,-2.666666666666666e-6,-5.333333333333332e-6,0,5.338827838827838e-6,9.97533189033189e-4,not important,not important,not important,not important,not important,not important
X8479,0,1.6666666666666664e-5,1.3333333333333333e-5,5e-6,0,4.969298245614035e-6,4.7418854829381146e-4,not important,not important,not important,not important,not important,not important
X8480,9e-5,7.090476190476192e-5,1.0533333333333334e-4,1.1733333333333333e-4,7.29e-4,2.0688350194696939e-4,0.009755259150627514,not important,not important,not important,not important,not important,not important
X8481,8e-6,2.333333333333333e-5,6.833333333333333e-5,0,0,1.6931965093729797e-5,0.0012400611414729063,not important,not important,not important,not important,not important,not important
X8482,1.5e-5,-4e-6,6e-6,7.466666666666666e-5,6.633333333333332e-5,2.8669587378565708e-5,0.0023987372641806086,not important,not important,not important,not important,not important,not important
X8483,-2.6666666666666673e-6,2.333333333333333e-5,-2.333333333333335e-6,1.0000000000000002e-4,7.366666666666666e-5,4.730166900522937e-5,0.004250090216506396,not important,not important,not important,not important,not important,not important
X8484,4.283333333333332e-4,1.3133333333333335e-4,4.229999999999999e-4,0.0011513333333333334,2.3299999999999997e-4,4.4006734768499477e-4,0.01923590060796585,not important,not important,not important,not important,not important,not important
X8485,-9.999999999999997e-7,-2.0666666666666663e-5,-3.9e-5,-1.1666666666666665e-5,3.6666666666666666e-5,-6.972153233763141e-6,0.0010445785750197516,not important,not important,not important,not important,not important,not important
X8486,7.633333333333332e-5,8.499999999999998e-5,-1.5e-5,1.0666666666666667e-4,1.0633333333333333e-4,7.975565894373947e-5,0.00429132359779883,not important,not important,not important,not important,not important,not important
X8487,4.5333333333333335e-5,-1e-5,3.733333333333334e-5,-1.0999999999999998e-5,-6e-6,1.971482439129498e-5,0.0046910675417734535,not important,not important,not important,not important,not important,not important
X8488,0,-2e-5,-6.666666666666667e-6,3.3333333333333333e-6,4e-6,-7.606837606837607e-7,2.346936396936397e-4,not important,not important,not important,not important,not important,not important
X8489,-4e-6,-1e-5,0,6.666666666666667e-6,0,-2.5686813186813184e-6,2.413333333333334e-4,not important,not important,not important,not important,not important,not important
X8490,6.533333333333333e-5,4.6333333333333326e-5,4.5e-5,1.2233333333333332e-4,0.0010259999999999996,2.542460746168176e-4,0.01134491582262084,not important,not important,not important,not important,not important,not important
X8491,9.999999999999997e-7,6.066666666666667e-5,-6.999999999999997e-6,1.2333333333333334e-5,0,1.108726567550097e-5,0.0012637179487179485,not important,not important,not important,not important,not important,not important
X8492,7.566666666666669e-5,4.399999999999999e-5,4.5333333333333335e-5,1.39e-4,9.040000000000001e-4,2.3594745347531722e-4,0.009567871537786645,not important,not important,not important,not important,not important,not important
X8493,7.333333333333332e-5,4.666666666666664e-6,1.92e-4,1.4400000000000003e-4,0.00097466666666666665,2.452303301273889e-4,0.011941036179004463,not important,not important,not important,not important,not important,not important
X8494,6.666666666666667e-6,-9.399999999999998e-5,3.5e-5,3.566666666666666e-5,6.666666666666667e-6,-4.209216480114313e-6,0.0022683937745916886,not important,not important,not important,not important,not important,not important
X8495,-3.0000000000000005e-6,-1.6666666666666652e-6,5.733333333333332e-5,2.6666666666666667e-5,6.666666666666667e-6,1.21321043937143e-5,0.0018706967176389086,not important,not important,not important,not important,not important,not important
X8496,5.1333333333333325e-5,7.699999999999999e-5,-5.4000000000000005e-5,1.3000000000000001e-5,4e-6,2.042600614040243e-5,0.0042688346270023485,not important,not important,not important,not important,not important,not important
X8498,1.8199999999999995e-4,5.466666666666667e-5,2.0200000000000003e-4,2.743333333333334e-4,0.001038333333333333,3.484674454372594e-4,0.015064746011727116,not important,not important,not important,not important,not important,not important
X8499,1.6666666666666664e-5,4.5e-5,-5.133333333333334e-5,3.999999999999999e-6,1.6666666666666662e-6,2.975792611241528e-6,0.0040621925474205725,not important,not important,not important,not important,not important,not important
X8500,2.6666666666666667e-5,-7.466666666666669e-5,2.1666666666666664e-5,0,5.714285714285714e-6,-1.2039138965609556e-5,0.0034830320523989264,not important,not important,not important,not important,not important,not important
X8501,1.5499999999999997e-4,1.8299999999999998e-4,1.6633333333333333e-4,2.693333333333334e-4,9.509999999999999e-4,3.313424470266575e-4,0.014164741152903301,not important,not important,not important,not important,not important,not important
X8502,1.8333333333333333e-5,-1.7666666666666675e-5,2.1066666666666662e-4,4.699999999999999e-5,6.766666666666668e-5,7.029165768871651e-5,0.004382470671941582,not important,not important,not important,not important,not important,not important
X8504,6.133333333333334e-5,4e-5,6e-5,1.7e-4,7.926666666666669e-4,1.9947913361148653e-4,0.008684567788603721,not important,not important,not important,not important,not important,not important
X8505,0,4e-6,-1.3333333333333335e-5,5e-6,0,2.380952380952381e-7,3.01995670995671e-4,not important,not important,not important,not important,not important,not important
X8506,8.866666666666668e-5,2.9e-5,-2.2204460492503133e-21,-5e-6,0,2.5102588587882712e-5,0.0031045510180755325,not important,not important,not important,not important,not important,not important
